SQL_ApplicationId,SQL_TransactionId,SQL_Workflowid,SQL_DisplayName,SQL_StartDate,SQL_EndDate,SQL_AppliedDate,SQL_TransactionStatus,SQL_TransactionSequence,SQL_TransactionSubTypeOtherDescription,SQL_ReasonForChange
76148,274978,47F13519-76F0-407C-937A-3B3EBB46B67D,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,2021-01-27 12:24:56.5733407 +00:00,Bound,1,null,null
76147,274969,0479C789-C48C-4EDD-BF45-0C26ED43A65B,QUOTETRANSACTION,2021-01-01 12:00:00 +00:00,2022-01-01 12:00:00 +00:00,2021-01-27 12:23:37.69935 +00:00,Bound,1,null,null
76146,275031,B83DB4B1-A7D4-4E3E-B505-B276C98DB2CD,QUOTETRANSACTION,2021-01-01 12:00:00 +00:00,2022-01-01 12:00:00 +00:00,2021-01-27 11:34:01.9404263 +00:00,Not Taken Up,2,null,null
76146,274961,D08F8DBD-4904-44B3-B44E-B593CC2EAF35,QUOTETRANSACTION,2021-01-01 12:00:00 +00:00,2022-01-01 12:00:00 +00:00,2021-01-27 11:07:36.0263106 +00:00,Not Taken Up,1,null,null
76146,275032,FCF35196-003C-40B1-9A45-AB8808473B3B,QUOTETRANSACTION,2021-01-01 12:00:00 +00:00,2022-01-01 12:00:00 +00:00,2021-01-27 12:21:48.5871877 +00:00,Bound,3,null,null
76144,274951,7F45D65A-D2A7-4FE3-83A7-3A9D9DD8E22C,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,2021-01-15 10:03:55.3894225 +00:00,Bound,1,null,null
76142,274940,DD89BA16-D9F1-4EEF-95BE-41924DC12F7E,RENEWALQUOTETRANSACTION,2021-11-01 12:00:00 +00:00,2022-11-01 12:00:00 +00:00,2021-01-15 06:54:14.9298742 +00:00,Bound,1,null,null
76140,274930,891FBE2A-94DE-4E88-B4D9-0F97BD993DDA,QUOTETRANSACTION,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,2021-01-07 18:01:31.5556786 +00:00,Bound,1,null,null
76138,274915,1DED75F4-B35F-46FB-84C0-7E0CF4658480,RENEWALQUOTETRANSACTION,2021-11-01 12:00:00 +00:00,2022-11-01 12:00:00 +00:00,2021-01-07 07:43:14.035945 +00:00,Bound,1,null,null
76136,274906,3AEEE4FD-2C0B-49FB-8186-23860C551C5A,QUOTETRANSACTION,2020-10-10 12:00:00 +00:00,2021-01-01 12:00:00 +00:00,2021-01-06 15:42:14.1933296 +00:00,Bound,1,null,null
76131,274892,39710A02-F077-4B06-B86B-EB6D7AB7B834,RENEWALQUOTETRANSACTION,2021-11-01 12:00:00 +00:00,2022-11-01 12:00:00 +00:00,2021-01-06 08:56:05.2476176 +00:00,Bound,1,null,null
76130,274891,44FBCA8B-6429-4311-86B1-7DF8C6F3AA56,RENEWALQUOTETRANSACTION,2021-11-01 12:00:00 +00:00,2022-11-01 12:00:00 +00:00,2021-01-06 08:56:04.1463955 +00:00,Bound,1,null,null
76129,274890,3F538F89-37B8-4D6F-9A78-EA24C7D5BF29,RENEWALQUOTETRANSACTION,2021-11-01 12:00:00 +00:00,2022-11-01 12:00:00 +00:00,null,In Progress,1,null,null
76128,274889,B1C8A246-9E01-458A-8921-8D10CF636D30,RENEWALQUOTETRANSACTION,2021-11-01 12:00:00 +00:00,2022-11-01 12:00:00 +00:00,null,In Progress,1,null,null
76126,274885,A5F0901C-E743-450C-8AFD-A0DEC709E451,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,2021-01-05 19:40:09.6847045 +00:00,Bound,1,null,null
76124,274882,00E8E911-41F1-4563-B72F-09739A2E8733,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,2021-01-05 19:33:53.5043602 +00:00,Bound,1,null,null
76122,274876,5AB70BCF-1E1D-4D0D-8CE9-9C70A564EFC5,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,2021-01-05 19:07:43.1110945 +00:00,Bound,1,null,null
76120,274869,FDEF0D99-9CAD-42F1-8089-9BC442B75DA9,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,2021-01-05 19:02:05.7650504 +00:00,Bound,1,null,null
76118,274864,A5CA2AD2-64C8-4F71-88C8-055590E1BBC8,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,2021-01-05 18:19:59.3202689 +00:00,Bound,1,null,null
76116,274861,FC73BDCC-C9FA-438C-A6E3-FE49DCFD1F18,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,2021-01-05 17:45:01.6490099 +00:00,Bound,1,null,null
76114,274858,394CBEFC-917E-4191-A64F-7F023A641E4C,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,2021-01-05 17:08:46.3158833 +00:00,Bound,1,null,null
76112,274848,009197FC-06A3-443D-A914-9DF3E0888806,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,2021-01-05 16:59:16.1522588 +00:00,Bound,1,null,null
76110,274843,05909AC8-A00D-4E53-902E-E59984049E4E,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,2021-01-05 16:34:42.2023312 +00:00,Bound,1,null,null
76108,274836,E40960BA-59CB-4BC0-8CB8-EEC23734BBCD,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,2021-01-05 16:17:13.2393375 +00:00,Bound,1,null,null
76106,274828,3E2CA412-F93C-4AF8-9846-C4434FBD9CE1,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,2021-01-05 16:00:22.6489728 +00:00,Bound,1,null,null
76104,274821,290ABB68-F05F-4A2B-8978-053FB5A97FEE,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,2021-01-05 14:44:29.8699467 +00:00,Not Taken Up,1,null,null
76104,274824,F8434E10-7FDF-4ECC-AC9B-FB9013ACFA12,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,2021-01-05 14:46:11.4308108 +00:00,Bound,2,null,null
76103,274816,F0700270-F208-47E4-8E91-132E3F6DF033,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,null,In Progress,1,null,null
76102,274814,1EAF6076-2A68-4923-89A4-3F388E1EB809,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,null,In Progress,1,null,null
76101,274810,4A0A67B4-B023-4D5D-A389-8190B87B7BF3,QUOTETRANSACTION,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,null,In Progress,1,null,null
76100,274808,327D2511-0851-46C3-B1D8-F5CD5B111BB4,QUOTETRANSACTION,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,null,In Progress,1,null,null
76099,274807,ED3F7BD2-F43F-4DA0-8D70-3C7B7AFD9ECB,QUOTETRANSACTION,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,null,In Progress,1,null,null
76098,274799,766B151F-43D6-457A-A1C0-BCFE823CDF12,QUOTETRANSACTION,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,2021-01-19 14:33:30.6010098 +00:00,Bound,1,null,null
76097,274798,2C5186A6-4771-4183-8790-799CB4C32D86,QUOTETRANSACTION,2020-12-17 12:00:00 +00:00,2021-12-17 12:00:00 +00:00,null,In Progress,1,null,null
76096,274797,9FC14FF6-FDDE-4598-A35F-7FAB23351F91,QUOTETRANSACTION,2020-12-17 12:00:00 +00:00,2021-12-17 12:00:00 +00:00,null,In Progress,1,null,null
76095,274792,2599CE16-C45C-48C2-B6CB-C248328A63EC,QUOTETRANSACTION,2020-12-17 12:00:00 +00:00,2021-12-17 12:00:00 +00:00,null,In Progress,1,null,null
76093,274781,AF7E23A4-B7D6-4FF1-8F09-7351E2285CBD,QUOTETRANSACTION,2020-12-14 12:00:00 +00:00,2021-12-14 12:00:00 +00:00,2020-12-14 12:17:16.0956549 +00:00,Bound,1,null,null
76092,274778,77D35AFC-E826-4A13-BEFF-2F7599AFFCE9,QUOTETRANSACTION,2020-12-14 12:00:00 +00:00,2021-12-14 12:00:00 +00:00,null,In Progress,1,null,null
76090,274769,FE6DD09C-AF90-47A6-BEDC-994DA2D69975,RENEWALQUOTETRANSACTION,2021-10-01 12:00:00 +00:00,2022-10-01 12:00:00 +00:00,2020-12-11 12:18:44.9056454 +00:00,Bound,1,null,null
76088,274761,F15D0CDC-EE7E-4FCD-8093-02E631A3FACF,QUOTETRANSACTION,2020-10-01 12:00:00 +00:00,2021-10-01 12:00:00 +00:00,2020-12-11 12:03:06.6433274 +00:00,Not Taken Up,1,null,null
76088,274764,2B07EC71-60F2-43DF-BB2F-431985A6727F,QUOTETRANSACTION,2020-10-01 12:00:00 +00:00,2021-10-01 12:00:00 +00:00,2020-12-11 12:07:02.1574066 +00:00,Bound,2,null,null
76086,274758,D4988865-1850-4CE6-89E1-BDBFE884802B,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,2020-12-09 13:48:40.6319772 +00:00,Bound,1,null,null
76084,274747,0B7F5C7E-1EBD-48AC-9B7C-16A5B80BF733,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,2020-12-09 11:57:37.0010027 +00:00,Bound,1,null,null
76082,274741,03D9E1B1-7AA9-4ECF-A523-CF4FB5D8AF80,QUOTETRANSACTION,2020-10-01 12:00:00 +00:00,2021-10-01 12:00:00 +00:00,2020-12-09 09:23:39.7442438 +00:00,Bound,1,null,null
76079,274731,C69A6725-348F-40EB-B714-9295F95F5FBF,RENEWALQUOTETRANSACTION,2021-10-01 12:00:00 +00:00,2022-10-01 12:00:00 +00:00,2020-12-08 14:56:12.3997115 +00:00,Bound,1,null,null
76077,274721,705EEF59-5F09-46DD-AF6D-79F8CA9F0B05,QUOTETRANSACTION,2020-10-01 12:00:00 +00:00,2021-10-01 12:00:00 +00:00,2020-12-08 13:45:10.5733784 +00:00,Bound,1,null,null
76075,274718,ACD217C6-DF59-430F-9A77-56DA8B17B973,QUOTETRANSACTION,2021-01-01 12:00:00 +00:00,2022-01-01 12:00:00 +00:00,2020-12-07 14:14:47.559762 +00:00,Bound,1,null,null
76073,274713,37FC5E69-DF88-4A49-ABD9-631A5625256B,QUOTETRANSACTION,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,2020-12-07 14:03:37.9194399 +00:00,Not Taken Up,1,null,null
76073,274714,077A9515-EB64-4E9D-8700-279CD7C9C9C1,QUOTETRANSACTION,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,2020-12-07 14:05:12.7738361 +00:00,Bound,2,null,null
76071,274708,15CBEE45-3CC1-42B5-B52A-1BA2CB70F3C0,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,2020-12-07 12:47:25.031618 +00:00,Bound,1,null,null
76070,274707,36E3A031-28D2-459A-81F7-C70BF69EBB52,QUOTETRANSACTION,2021-01-01 12:00:00 +00:00,2022-01-01 12:00:00 +00:00,null,In Progress,1,null,null
76069,274706,F5DBD925-EEFC-4C32-B10E-0914A4704A31,QUOTETRANSACTION,2020-12-07 12:00:00 +00:00,2021-12-07 12:00:00 +00:00,null,In Progress,1,null,null
76068,274679,17BB3D57-5FE7-4DBF-B0D8-FCC7A47D4EB3,QUOTETRANSACTION,2020-09-14 12:00:00 +00:00,2020-12-04 12:00:00 +00:00,2020-12-04 15:31:02.5837378 +00:00,Not Taken Up,4,null,null
76068,274678,96F4B682-B1C9-47FD-B494-49F230ABAEC1,QUOTETRANSACTION,2020-09-14 12:00:00 +00:00,2020-12-03 12:00:00 +00:00,2020-12-04 13:44:51.3367553 +00:00,Not Taken Up,3,null,null
76068,274677,FCB59CD1-DCA3-4780-ABCE-1E677035BC4B,QUOTETRANSACTION,2020-09-14 12:00:00 +00:00,2020-12-02 12:00:00 +00:00,2020-12-04 13:25:53.427597 +00:00,Not Taken Up,2,null,null
76068,274676,C472827B-91FF-446F-9BF1-A3C10E87D255,QUOTETRANSACTION,2020-09-14 12:00:00 +00:00,2020-12-01 12:00:00 +00:00,2020-12-04 13:05:41.4032088 +00:00,Not Taken Up,1,null,null
76068,274682,5A795150-344E-4E98-B1C6-7B2378B643BC,QUOTETRANSACTION,2020-09-14 12:00:00 +00:00,2020-12-04 12:00:00 +00:00,null,In Progress,5,null,null
76066,274670,450F7876-A946-4AEA-81EF-434B32D7A144,QUOTETRANSACTION,2020-12-03 12:00:00 +00:00,2021-12-03 12:00:00 +00:00,2020-12-03 14:28:06.3655747 +00:00,Bound,1,null,null
76064,274665,C579F326-DC73-46D0-91AD-EDF109E6052C,QUOTETRANSACTION,2020-12-03 12:00:00 +00:00,2021-12-03 12:00:00 +00:00,2020-12-03 12:50:12.655285 +00:00,Bound,1,null,null
76063,274661,E3089027-663C-4788-85BA-C30F009BFA9B,RENEWALQUOTETRANSACTION,2020-11-30 12:00:00 +00:00,2021-11-30 12:00:00 +00:00,2020-12-04 15:31:02.2177113 +00:00,Not Taken Up,1,null,null
76063,274681,73368E14-F591-4733-BF8D-4206302CF0F4,RENEWALQUOTETRANSACTION,2020-11-30 12:00:00 +00:00,2021-11-30 12:00:00 +00:00,null,In Progress,2,null,null
76061,274655,5AF7B797-0BA1-430B-B21F-80B52DC44979,QUOTETRANSACTION,2020-08-31 12:00:00 +00:00,2021-11-28 12:00:00 +00:00,2020-11-30 16:05:48.736714 +00:00,Not Taken Up,2,null,null
76061,274654,19C12451-C884-421A-A353-967B5D4D6460,QUOTETRANSACTION,2020-08-31 12:00:00 +00:00,2021-11-28 12:00:00 +00:00,2020-11-30 16:04:37.5336368 +00:00,Not Taken Up,1,null,null
76061,274657,80171149-003E-4208-A11E-4315D4A86C8C,QUOTETRANSACTION,2020-09-04 12:00:00 +00:00,2020-11-30 12:00:00 +00:00,2020-11-30 16:15:53.5943506 +00:00,Bound,3,null,null
76059,274651,D9A3A5D6-7330-4FC0-84FD-ED5504A0F4F0,QUOTETRANSACTION,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,2020-11-30 11:59:36.5558252 +00:00,Bound,1,null,null
76058,274647,9DCABD18-8784-4799-8474-9EE0D87AD751,QUOTETRANSACTION,2020-11-24 12:00:00 +00:00,2021-11-24 12:00:00 +00:00,null,In Progress,1,null,null
76056,274639,389AC279-6F6D-43EF-A441-C9D033B94B2C,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,2020-11-16 16:49:59.0776742 +00:00,Bound,1,null,null
76055,274633,13E56157-EA42-466D-B17A-E5F8A23973AB,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,null,In Progress,1,null,null
76054,274632,0E9DF95C-8F48-4E8B-B24F-6BFD659019E6,QUOTETRANSACTION,2020-11-10 12:00:00 +00:00,2021-11-10 12:00:00 +00:00,null,In Progress,1,null,null
76053,274631,D7E52821-8006-4E27-825D-CF038CF26379,QUOTETRANSACTION,2020-11-10 12:00:00 +00:00,2021-11-10 12:00:00 +00:00,null,In Progress,1,null,null
76052,274627,0D0AB754-7BB0-4EC1-8BCF-EC566BD569DB,RENEWALQUOTETRANSACTION,2020-10-01 12:00:00 +00:00,2021-10-01 12:00:00 +00:00,null,In Progress,1,null,null
76050,274614,320FBACC-CD8A-47DD-93A1-F0293300F56A,QUOTETRANSACTION,2020-09-28 12:00:00 +00:00,2021-09-28 12:00:00 +00:00,2020-09-28 09:42:56.0735284 +01:00,Bound,1,null,null
76048,274580,8639A091-8893-404E-B1DE-D06C32802841,QUOTETRANSACTION,2020-09-21 12:00:00 +00:00,2021-09-21 12:00:00 +00:00,2020-09-21 13:32:26.099385 +01:00,Bound,1,null,null
76047,274572,52E253B4-3ACD-4C99-9D7B-E0E697670B70,QUOTETRANSACTION,2020-09-18 12:00:00 +00:00,2021-09-18 12:00:00 +00:00,null,In Progress,1,null,null
76045,274556,F1EF9D11-93B6-4C45-8026-AECD01BD9E78,QUOTETRANSACTION,2020-09-17 12:00:00 +00:00,2021-09-17 12:00:00 +00:00,2020-09-17 14:53:38.8247971 +01:00,Bound,1,null,null
76044,274552,AFEE5092-9D93-40D8-834F-8B761AEB15A5,QUOTETRANSACTION,2020-09-17 12:00:00 +00:00,2021-09-17 12:00:00 +00:00,null,In Progress,1,null,null
76042,274549,1B80A229-BBA5-446B-8B3A-09F28E252F78,QUOTETRANSACTION,2020-09-16 12:00:00 +00:00,2021-09-16 12:00:00 +00:00,2020-09-16 17:58:48.6608639 +01:00,Bound,1,null,null
76041,274548,FDBF9E22-9EE9-46EC-8280-90265F23EC55,QUOTETRANSACTION,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,null,In Progress,1,null,null
76039,274544,2148EB63-687E-4FFF-92ED-80D0EDD67051,QUOTETRANSACTION,2020-09-16 12:00:00 +00:00,2021-09-16 12:00:00 +00:00,2020-09-16 17:37:23.8892839 +01:00,Abandoned,1,null,null
76038,274543,F9EA417B-BB4B-4244-BA9B-B3D8A0E411DC,QUOTETRANSACTION,2020-09-16 12:00:00 +00:00,2021-09-16 12:00:00 +00:00,2020-09-16 17:32:59.0740362 +01:00,Abandoned,1,null,null
