API_SignatoryStateId,API_CountryName,API_ShortName,API_TradingCertTypeId
256,IRELAND REPUBLIC OF,IRL,3
257,IRELAND REPUBLIC OF,IRL,4
573,IRELAND REPUBLIC OF,IRL,25
648,IRELAND REPUBLIC OF,IRL,26
259,ISLE OF MAN,IOM,1
258,ISLE OF MAN,IOM,2
260,ISLE OF MAN,IOM,3
261,ISLE OF MAN,IOM,4
537,ISLE OF MAN,IOM,5
617,ISLE OF MAN,IOM,25
692,ISLE OF MAN,IOM,26
263,ITALY,ITA,1
262,ITALY,ITA,2
264,ITALY,ITA,3
265,ITALY,ITA,4
574,ITALY,ITA,25
649,ITALY,ITA,26
721,IVORY COAST,CIV,1
267,JAMAICA,JAM,1
266,JAMAICA,JAM,2
268,JAMAICA,JAM,3
269,JAMAICA,JAM,4
270,JAPAN,JPN,2
271,JAPAN,JPN,3
272,JAPAN,JPN,4
575,JAPAN,JPN,25
650,JAPAN,JPN,26
274,JORDAN,JOR,1
273,JORDAN,JOR,2
275,JORDAN,JOR,3
276,JORDAN,JOR,4
716,JORDAN,JOR,5
576,KENYA,KEN,25
651,KENYA,KEN,26
278,KIRIBATI,KIR,1
277,KIRIBATI,KIR,2
279,KIRIBATI,KIR,3
280,KIRIBATI,KIR,4
577,KIRIBATI,KIR,25
652,KIRIBATI,KIR,26
389,KOREA  REPUBLIC OF,KOR,1
385,KOREA  REPUBLIC OF,KOR,2
386,KOREA  REPUBLIC OF,KOR,3
387,KOREA  REPUBLIC OF,KOR,4
727,KOREA  REPUBLIC OF,KOR,5
578,KOREA  REPUBLIC OF,KOR,25
653,KOREA  REPUBLIC OF,KOR,26
281,KUWAIT,KWT,2
282,KUWAIT,KWT,3
283,KUWAIT,KWT,4
285,LATVIA  REPUBLIC OF,LVA,1
284,LATVIA  REPUBLIC OF,LVA,2
286,LATVIA  REPUBLIC OF,LVA,3
287,LATVIA  REPUBLIC OF,LVA,4
579,LATVIA  REPUBLIC OF,LVA,25
654,LATVIA  REPUBLIC OF,LVA,26
289,LIBERIA,LBR,1
288,LIBERIA,LBR,2
290,LIBERIA,LBR,3
291,LIBERIA,LBR,4
292,LIBERIA,LBR,5
580,LIBERIA,LBR,25
655,LIBERIA,LBR,26
296,LITHUANIA  REPUBLIC OF,LTU,1
295,LITHUANIA  REPUBLIC OF,LTU,2
297,LITHUANIA  REPUBLIC OF,LTU,3
298,LITHUANIA  REPUBLIC OF,LTU,4
581,LITHUANIA  REPUBLIC OF,LTU,25
656,LITHUANIA  REPUBLIC OF,LTU,26
300,LUXEMBOURG,LUX,1
299,LUXEMBOURG,LUX,2
301,LUXEMBOURG,LUX,3
302,LUXEMBOURG,LUX,4
582,LUXEMBOURG,LUX,25
657,LUXEMBOURG,LUX,26
304,MADEIRA,PMD,1
303,MADEIRA,PMD,2
305,MADEIRA,PMD,3
306,MADEIRA,PMD,4
729,MADEIRA,PMD,5
308,MALAYSIA,MYS,1
307,MALAYSIA,MYS,2
310,MALAYSIA,MYS,3
311,MALAYSIA,MYS,4
309,MALAYSIA,MYS,5
583,MALAYSIA,MYS,25
658,MALAYSIA,MYS,26
584,MALDIVES  REPUBLIC OF,MDV,25
659,MALDIVES  REPUBLIC OF,MDV,26
313,MALTA,MLT,1
312,MALTA,MLT,2
315,MALTA,MLT,3
316,MALTA,MLT,4
314,MALTA,MLT,5
585,MALTA,MLT,25
660,MALTA,MLT,26
318,MARSHALL ISLANDS,MHL,1
317,MARSHALL ISLANDS,MHL,2
320,MARSHALL ISLANDS,MHL,3
321,MARSHALL ISLANDS,MHL,4
319,MARSHALL ISLANDS,MHL,5
586,MARSHALL ISLANDS,MHL,25
661,MARSHALL ISLANDS,MHL,26
323,MAURITIUS,MUS,1
322,MAURITIUS,MUS,2
324,MAURITIUS,MUS,3
325,MAURITIUS,MUS,4
587,MAURITIUS,MUS,25
662,MAURITIUS,MUS,26
326,MEXICO,MEX,2
327,MEXICO,MEX,3
328,MEXICO,MEX,4
330,MONGOLIA,MNG,1
329,MONGOLIA,MNG,2
331,MONGOLIA,MNG,3
332,MONGOLIA,MNG,4
588,MONGOLIA,MNG,25
663,MONGOLIA,MNG,26
589,MONTENEGRO,MTG,25
664,MONTENEGRO,MTG,26
334,MOROCCO,MAR,1
333,MOROCCO,MAR,2
336,MOROCCO,MAR,3
337,MOROCCO,MAR,4
335,MOROCCO,MAR,5
590,MOROCCO,MAR,25
665,MOROCCO,MAR,26
341,NETHERLANDS,NLD,1
338,NETHERLANDS,NLD,2
339,NETHERLANDS,NLD,3
340,NETHERLANDS,NLD,4
538,NETHERLANDS,NLD,5
591,NETHERLANDS,NLD,25
666,NETHERLANDS,NLD,26
345,NEW ZEALAND,NZL,1
344,NEW ZEALAND,NZL,2
346,NEW ZEALAND,NZL,3
347,NEW ZEALAND,NZL,4
593,NICARAGUA,NIC,25
668,NICARAGUA,NIC,26
354,NIGERIA,NGA,1
353,NIGERIA,NGA,2
356,NIGERIA,NGA,3
357,NIGERIA,NGA,4
355,NIGERIA,NGA,5
594,NIGERIA,NGA,25
669,NIGERIA,NGA,26
349,NIUE ISLAND,NIU,1
348,NIUE ISLAND,NIU,2
351,NIUE ISLAND,NIU,3
352,NIUE ISLAND,NIU,4
350,NIUE ISLAND,NIU,5
359,NORWAY,NOR,1
358,NORWAY,NOR,2
360,NORWAY,NOR,3
361,NORWAY,NOR,4
595,NORWAY,NOR,25
670,NORWAY,NOR,26
363,PALAU  REPUBLIC OF,PLW,1
362,PALAU  REPUBLIC OF,PLW,2
365,PALAU  REPUBLIC OF,PLW,3
366,PALAU  REPUBLIC OF,PLW,4
364,PALAU  REPUBLIC OF,PLW,5
596,PALAU  REPUBLIC OF,PLW,25
671,PALAU  REPUBLIC OF,PLW,26
372,PAPUA NEW GUINEA,PNG,2
373,PAPUA NEW GUINEA,PNG,3
374,PAPUA NEW GUINEA,PNG,4
375,PERU,PER,2
376,PERU,PER,3
377,PERU,PER,4
378,PHILIPPINES,PHL,2
379,PHILIPPINES,PHL,3
380,PHILIPPINES,PHL,4
598,PHILIPPINES,PHL,25
673,PHILIPPINES,PHL,26
382,POLAND,POL,1
381,POLAND,POL,2
383,POLAND,POL,3
384,POLAND,POL,4
599,POLAND,POL,25
674,POLAND,POL,26
702,PORTUGAL,PRT,1
703,PORTUGAL,PRT,2
720,PORTUGAL,PRT,5
368,REPUBLIC OF PANAMA,PAN,1
367,REPUBLIC OF PANAMA,PAN,2
370,REPUBLIC OF PANAMA,PAN,3
371,REPUBLIC OF PANAMA,PAN,4
369,REPUBLIC OF PANAMA,PAN,5
597,REPUBLIC OF PANAMA,PAN,25
672,REPUBLIC OF PANAMA,PAN,26
393,ROMANIA,ROM,1
392,ROMANIA,ROM,2
394,ROMANIA,ROM,3
395,ROMANIA,ROM,4
514,RUSSIAN FEDERATION,RUS,1
510,RUSSIAN FEDERATION,RUS,2
512,RUSSIAN FEDERATION,RUS,3
513,RUSSIAN FEDERATION,RUS,4
600,RUSSIAN FEDERATION,RUS,25
675,RUSSIAN FEDERATION,RUS,26
732,SAUDI ARABIA,SAU,1
400,SAUDI ARABIA,SAU,2
401,SAUDI ARABIA,SAU,3
402,SAUDI ARABIA,SAU,4
738,SAUDI ARABIA,SAU,5
604,SERBIA,SER,25
679,SERBIA,SER,26
605,SEYCHELLES,SYC,25
680,SEYCHELLES,SYC,26
409,SIERRA LEONE,SLE,1
408,SIERRA LEONE,SLE,2
410,SIERRA LEONE,SLE,3
411,SIERRA LEONE,SLE,4
739,SIERRA LEONE,SLE,5
413,SINGAPORE  REPUBLIC OF,SGP,1
412,SINGAPORE  REPUBLIC OF,SGP,2
414,SINGAPORE  REPUBLIC OF,SGP,3
415,SINGAPORE  REPUBLIC OF,SGP,4
710,SINGAPORE  REPUBLIC OF,SGP,5
606,SINGAPORE  REPUBLIC OF,SGP,25
681,SINGAPORE  REPUBLIC OF,SGP,26
417,SLOVENIA,SVN,1
416,SLOVENIA,SVN,2
418,SLOVENIA,SVN,3
419,SLOVENIA,SVN,4
420,SOUTH AFRICA,ZAF,2
421,SOUTH AFRICA,ZAF,3
422,SOUTH AFRICA,ZAF,4
539,SOUTH AFRICA,ZAF,5
607,SOUTH AFRICA,ZAF,25
682,SOUTH AFRICA,ZAF,26
424,SPAIN,ESP,1
423,SPAIN,ESP,2
425,SPAIN,ESP,3
426,SPAIN,ESP,4
608,SPAIN,ESP,25
683,SPAIN,ESP,26
724,SRI LANKA,LKA,2
712,SRI LANKA,LKA,25
713,SRI LANKA,LKA,26
428,ST KITTS-NEVIS,KNA,1
427,ST KITTS-NEVIS,KNA,2
429,ST KITTS-NEVIS,KNA,3
430,ST KITTS-NEVIS,KNA,4
543,ST KITTS-NEVIS,KNA,5
602,ST KITTS-NEVIS,KNA,25
677,ST KITTS-NEVIS,KNA,26
432,ST VINCENT & GRENADINES,VCT,1
431,ST VINCENT & GRENADINES,VCT,2
433,ST VINCENT & GRENADINES,VCT,3
434,ST VINCENT & GRENADINES,VCT,4
601,ST VINCENT & GRENADINES,VCT,25
676,ST VINCENT & GRENADINES,VCT,26
439,SWEDEN,SWE,1
438,SWEDEN,SWE,2
440,SWEDEN,SWE,3
441,SWEDEN,SWE,4
717,SWEDEN,SWE,5
609,SWEDEN,SWE,25
684,SWEDEN,SWE,26
443,SWITZERLAND,CHE,1
442,SWITZERLAND,CHE,2
444,SWITZERLAND,CHE,3
445,SWITZERLAND,CHE,4
544,SWITZERLAND,CHE,5
610,SWITZERLAND,CHE,25
685,SWITZERLAND,CHE,26
728,THAILAND,THA,2
708,THAILAND,THA,25
709,THAILAND,THA,26
447,TOGO,TGO,1
446,TOGO,TGO,2
448,TOGO,TGO,3
449,TOGO,TGO,4
611,TOGO,TGO,25
686,TOGO,TGO,26
451,TONGA,TON,1
450,TONGA,TON,2
453,TONGA,TON,3
454,TONGA,TON,4
452,TONGA,TON,5
455,TUNISIA,TUN,1
456,TUNISIA,TUN,3
457,TUNISIA,TUN,4
459,TURKEY,TUR,1
458,TURKEY,TUR,2
460,TURKEY,TUR,3
461,TURKEY,TUR,4
463,TUVALU,TUV,1
462,TUVALU,TUV,2
465,TUVALU,TUV,3
466,TUVALU,TUV,4
464,TUVALU,TUV,5
612,TUVALU,TUV,25
687,TUVALU,TUV,26
736,UNITED ARAB EMIRATES,ARE,1
467,UNITED ARAB EMIRATES,ARE,2
468,UNITED ARAB EMIRATES,ARE,3
469,UNITED ARAB EMIRATES,ARE,4
472,UNITED KINGDOM,GBR,1
471,UNITED KINGDOM,GBR,2
473,UNITED KINGDOM,GBR,3
474,UNITED KINGDOM,GBR,4
475,UNITED KINGDOM,GBR,5
613,UNITED KINGDOM,GBR,25
688,UNITED KINGDOM,GBR,26
478,URUGUAY,URY,2
479,URUGUAY,URY,3
480,URUGUAY,URY,4
482,VANUATU,VUT,1
481,VANUATU,VUT,2
483,VANUATU,VUT,3
484,VANUATU,VUT,4
485,VENEZUELA,VEN,2
486,VENEZUELA,VEN,3
487,VENEZUELA,VEN,4
489,VIETNAM,VNM,1
488,VIETNAM,VNM,2
490,VIETNAM,VNM,3
491,VIETNAM,VNM,4
618,VIETNAM,VNM,25
693,VIETNAM,VNM,26
533,WESTERN SAMOA,WSM,2
534,WESTERN SAMOA,WSM,3
535,WESTERN SAMOA,WSM,4
603,WESTERN SAMOA,WSM,25
678,WESTERN SAMOA,WSM,26
