SQL_SignatoryStateId,SQL_Id,SQL_AddressName,SQL_AddressLine1,SQL_AddressLine2,SQL_AddressLine3,SQL_StateOrCounty,SQL_City,SQL_Country,SQL_PostCode,SQL_PrimaryAddress,SQL_isThePrimaryAddress
716,774,Jordan Maritime Commission ,P.O. Box: 171 Aqaba 77110,,,,Aqaba,JORDAN,,false,False
713,773,Registrar of Ships ,Merchant Shipping Division,Ministry of Highways  Ports & Shipping,1st Floor  Bristol Building  43-89 York Street,,Colombo 01,SRI LANKA,,false,False
712,772,Registrar of Ships ,Merchant Shipping Division ,Ministry of Highways  Ports & Shipping,1st Floor  Bristol Building  43-89  York Street,,Colombo 01,SRI LANKA,,false,False
711,764,Ministry of Maritime Affairs  ,Transport and Infrastructure Safety of Navigation  ,Maritime Environment and Inland Waters Protection Directorate,10 000 Zagreb  ,,Prisavlje 14,CROATIA  REPUBLIC OF,,false,False
710,760,Shipping Division  Maritime and Port Authority of Singapore ,460 Alexandra Road ,#21-00  PSA Building,,,Singapore,SINGAPORE  REPUBLIC OF,119963,false,False
709,742,Marine Department of Thailand,1278  Yotha Rd.  Talat Noi  ,Samphanthawong,,,Bangkok,THAILAND,10100,false,False
708,741,Marine Department of Thailand,1278  Yotha Rd.  Talat Noi  ,Samphanthawong ,,,Bangkok,THAILAND,10100,false,False
707,739,Federal Public Service Mobility and Transport,Directorate General Shipping,City Atrium ,Vooruitgangstraat 56 / Rue du Progres 56,,B-1210 Brussels,BELGIUM,,false,False
706,738,Finnish Transport Safety Agency Trafi,Marine Environment and Security,PO Box 320,,,FI-00101 Helsinki,FINLAND,,false,False
705,737,HM Government of Gibraltar,Gibraltar Maritime Administration,2/8 Watergate House ,,,Casemates Square,GIBRALTAR,GX11 1AA,false,False
704,729,The Maritime Authority of the Cayman Islands,3rd Floor  Government Administration Building,133 Elgin Avenue  PO Box 2256,,,Grand Cayman,CAYMAN ISLANDS,KY1-1107,false,False
703,726,Direcao-Geral de Recursos Naturiais,Seguranca e Servicos Marítimos,Avenida Brasília,,,1449-030 Lisboa,PORTUGAL,,false,False
702,725,Direcao-Geral de Recursos Naturiais,Seguranca e Servicos Maritimos,Avenida Brasilla,,,1499-030 Lisboa,PORTUGAL,,false,False
701,722,Services du Register International,Francais RIF,21 rue de la republique,13002,,MARSEILLE,FRANCE,,false,False
699,720,Ministry of Transport of the Peoples Republic of China,No.11 Jianguomen Inner Street,,,,Beijing,CHINA  PEOPLES REPUBLIC OF,100736,false,False
699,724,Xiamen Maritime Safety Administration of the People's Republic of China,No.19  Haicang Av.,Xiamen,,,Fujian,CHINA  PEOPLES REPUBLIC OF,,false,False
699,740,Shanghai Maritime Bureau of the People’s Republic of China,Maritime Building ,No. 190  Siping Road,,,Shanghai 200086,CHINA  PEOPLES REPUBLIC OF,,false,False
699,747,Guangzhou Maritime Safety Administration of the Peoples Republic of China,# 520 Binjiang Road East,Haizhu District,,,Guangzhou,CHINA  PEOPLES REPUBLIC OF,,false,False
699,748,Guangdong Maritime Safety Administration of the People’s Republic of China,No.47 Yi Le Road,,,,Guangzhou ,CHINA  PEOPLES REPUBLIC OF,,false,False
699,752,ZHOUSHAN MARITIME SAFETY ADMINISTRATION OF PEOPLE’S REPUBLIC OF CHINA,NO. 368 HUANGCHENG SOUTH ROAD,DINGHAI DISTRICT,,,ZHOUSHAN,CHINA  PEOPLES REPUBLIC OF,,false,False
699,757,Ningbo,Ningbo Maritime Safety Administration of People's Republic of China,No.351 Renmin Road,Jiangbei District,,Ningbo,CHINA  PEOPLES REPUBLIC OF,,false,False
699,769,Bureau of Fisheries ,Ministry of Agriculture and Rural Affairs ,P.R.China,No.11 Nongzhan Nanli ,,Beijing ,CHINA  PEOPLES REPUBLIC OF,100125,false,False
699,822,ZheJiang Maritime Safety Administration of People’s Republic of China,No.1 Yeqingdou Road ,Gongshu District  ,,,Hangzhou ,CHINA  PEOPLES REPUBLIC OF,,false,False
699,823,Shenzhen Maritime Safety Administration,Haian Centre ,2031 Binhe Road ,,,Shenzhen,CHINA  PEOPLES REPUBLIC OF,,false,False
699,835,Qingdao Maritime Safety Administration,No.1  Ningbo Road,Shibei District,,,Qingdao  Shandong,CHINA  PEOPLES REPUBLIC OF,266011,false,False
699,829,Nanjing Maritime Safety Administration of the People’s Republic of China,No.238 Central Road,,,,  Nanjing 210009,CHINA  PEOPLES REPUBLIC OF,,false,False
698,718,Directorate General of Sea Communications ,Jl. Merdeka Barat No.8,,,,Jakarta Pusat,INDONESIA,10110,false,False
697,717,Directorate General of Sea Communications ,Jl. Merdeka Barat No.8,,,,Jakarta Pusat,INDONESIA,10110,false,False
696,716,Zhejiang Bureau of Fishing Port Superintendence P.R.C.,No. 102 Tian Mu Shan Road ,Xihu District ,,, Hangzhou City  Zhejiang Province  P.R.C.,CHINA  PEOPLES REPUBLIC OF,,false,False
696,759,Ningbo,Ningbo Maritime Safety Administration of People's Republic of China,No.351 Renmin Road,Jiangbei District,,Ningbo,CHINA  PEOPLES REPUBLIC OF,,false,False
696,754,ZHOUSHAN MARITIME SAFETY ADMINISTRATION OF PEOPLE’S REPUBLIC OF CHINA,NO. 368 HUANGCHENG SOUTH ROAD,DINGHAI DISTRICT,,,ZHOUSHAN,CHINA  PEOPLES REPUBLIC OF,,false,False
696,837,Qingdao Maritime Safety Administration,No.1  Ningbo Road,Shibei District,,,Qingdao  Shandong,CHINA  PEOPLES REPUBLIC OF,266011,false,False
695,836,Qingdao Maritime Safety Administration,No.1  Ningbo Road,Shibei District,,,Qingdao  Shandong,CHINA  PEOPLES REPUBLIC OF,266011,false,False
695,821,ZheJiang Maritime Safety Administration of People’s Republic of China,No.1 Yeqingdou Road ,Gongshu District  ,,,Hangzhou  ,CHINA  PEOPLES REPUBLIC OF,,false,False
695,753,ZHOUSHAN MARITIME SAFETY ADMINISTRATION OF PEOPLE’S REPUBLIC OF CHINA,NO. 368 HUANGCHENG SOUTH ROAD,DINGHAI DISTRICT,,,ZHOUSHAN,CHINA  PEOPLES REPUBLIC OF,,false,False
695,758,Ningbo,Ningbo Maritime Safety Administration of People's Republic of China,No.351 Renmin Road,Jiangbei District,,Ningbo,CHINA  PEOPLES REPUBLIC OF,,false,False
695,715,Zhejiang Bureau of Fishing Port Superintendence P.R.C.,No.102 Tian Mu Shan Road ,Xihu District ,,,Hangzhou City  Zhejiang Province P.R.C,CHINA  PEOPLES REPUBLIC OF,,false,False
693,713,Viet nam Maritime Administration,No. 8 Pham Hung - Mai Dich,null,null,null,Cau Giay - Ha Noi,Vietnam,null,true,True
692,712,Isle of Man Ship Registry,St Georges Court,Upper Church Street,null,Isle of Man,Douglas,United Kingdom,IM1 1EX,true,True
691,711,Gibraltar Maritime Administration (GMA),Watergate House 2/8 Casemates Square,P.O. Box 71,null,null,null,United Kingdom,null,true,True
690,710,Maritime Authority of the Cayman Islands - Cayman Islands Shipping Registry (CISR),3rd Floor  Kirk House,22 Albert Panton Street,null,Cayman Islands,George Town  Grand Cayman,United Kingdom,Box 2256,true,True
689,709,null,null,null,null,null,null,United Kingdom,null,true,True
689,735,Bermuda Government,Bermuda Shipping and Maritime Authority,3rd Floor  Global House ,43 Church Street,,Hamilton ,BERMUDA,HM 12,false,False
688,708,Civil Liability Certificates (CLC) Team,Maritime & Coastguard Agency,Registry of Shipping and Seamen,Anchor Court  Keen Road,,Cardiff,UNITED KINGDOM,CF24 5JW,true,True
687,707,Tuvalu Ship Registry,null,null,null,Vaiaku  Funafuti,null,Tuvalu,null,true,True
686,705,Directorate of Maritime Affairs - International Ship Registry,IRB-Greece 110-112 Notara St,null,Piraeos,null,null,Greece,185-35,true,True
686,706,Togo Maritime Administration,null,null,null,null,null,null,null,false,False
685,704,Swiss Maritime Navigation Office (SMNO),Elisabethenstrasse 33,P.O. Box,null,null,Basel,Switzerland,CH-4010,true,True
684,703,Swedish Transport Agency, SE-601 73 Norrkoping,null,null,null,null,Sweden,null,true,True
683,702,Ministry of Development  Director General of the Merchant Marine,C/ Ruiz de Alarcón  1,null,null,null,Madrid,Spain,28071,true,True
682,701,South African Maritime Safety Authority (SAMSA),146 Lunnon Road Cnr Jan Shoba & Lunnon Road,null,null,Pretoria,Hillcrest,South Africa,183,true,True
681,700,Maritime and Port Authority of Singapore (MPA), MPA Shipping Division  460 Alexandra Road,#21-00  PSA Building,null,Singapore,null,Singapore,119963,true,True
680,699,null,null,null,null,null,null,Seychelles,null,true,True
679,698, Ministry of Construction  Transport and Infrastructure - Sector for Water Transport and Safety of Navigation,Nemanjina 22-26,null,null,Serbia,Belgrade,Serbia,11000,true,True
678,697,null,null,null,null,null,null,Samoa,null,true,True
677,696,St. Kitts & Nevis International Ship Registry,Stolt-Nielsen House  1-5 Oldchurch Road,Romford  Essex,null,null,null,Saint Kitts and Nevis,RM7 0BQ,true,True
676,695,St. Vincent & the Grenadines Maritime Administration, Cruise Ship Berth,P.O. Box 2857,null,null,Kingstown,Saint Vincent and the Grenadines,null,true,True
675,694,Ministry of Transport of the Russian Federation (MINTRAS),ul.Rozhdestvenka  1  p.1,null,null,null,Moscow,RUSSIAN FEDERATION,109012,true,True
674,693,Ministry of Maritime Economy and Inland Navigation,Department of Maritime Economy,Nowy Swiat 6/12,null,null,Warsaw,Poland,00-400,true,True
673,690,Philippine Overseas Employment Administration (POEA),Blas F. Ople Building,Ortigas Avenue corner EDSA,null,null,Mandaluyong City,Philippines,null,true,True
673,691,Department of Labor and Employment (DOLE),5/f DOLE Building,Gen. Luna Wing  Intramuros,null,null,Manila,Philippines,null,false,False
673,692,Maritime Industry Authority (MARINA),984 Parkview Plaza,Taft Avenue corner Kalaw Street,null,null,Manila,Philippines,null,false,False
672,689,Panama Maritime Authority,PanCanal Building,Ave. Omar Torrijos Herrera-Albrook,null,Panama City,0843 Balboa Ancón,Panama,533,true,True
671,688,Palau International Ship Registry,16701 Greenspoint Park Drive  Suite 155,null,null,TX,Houston,USA,77060,true,True
670,687,Norwegian Maritime Authority (NMA),P.O.Box 2222,null,null,null,Haugesund,Norway,NO-5509,true,True
669,686,The Nigerian Maritime Administration and Safety Agency (NIMASA),Maritime House,#4  Burma Road  Apapa 5804800 - 4,null,null,Lagos,Nigeria,null,true,True
668,685,null,null,null,null,null,null,Nicaragua,null,true,True
667,684,Directorate of Shipping & Maritime Affairs,Seru Mahuma z/n,,,,Netherlands Antilles,CURACAO,,true,True
666,683,Ministery of Infrastructure and Water Management,Netherlands Shipping Inspectorate,Postbox 16191,,,2500 BD Den Haag,NETHERLANDS,,true,True
665,681,Ministry of Equipment and Transport, Boulevard Houphouet Boigny,null,null,null,Casablanca,Morocco,null,true,True
664,680,null,null,null,null,null,null,Montenegro,null,true,True
663,679,Mongolia Maritime Administration (Operations),Mongolia Ship Registry,133 New Bridge Road,,,#16-02 Chinatown Point 059413,SINGAPORE  REPUBLIC OF,,true,True
662,678,Ministry of Public Infrastructure,National Development Unit,Land Transport and  Shipping,4th Floor  New Government Centre,,Port-Louis,MAURITIUS,,true,True
661,677,Marshall Islands Maritime and Corporate Administrators  Inc. c/o International Registries  Inc.,Attn: Regulatory Affairs,11495 Commerce Park Drive,null,VA,Reston,Marshall Islands,20191-1506,true,True
660,676,Transport Malta  Ports & Yachting Directorate,Malta Transport Centre,null,null,null,Marsa,Malta,MRS 1917,true,True
659,675,null,null,null,null,null,null,null,null,true,True
658,674,Marine Department of Malaysia,P.O. Box 12 Jalan Limbungan,null,null,null,Port Klang Selangor,Malaysia,42007,true,True
657,673,Luxembourg Maritime Administration,19-21  Boulevard Royal,null,null,null,null,Luxembourg,L-2449,true,True
656,672,Lithuanian Transport Safety Administration,Svitrigailos str. 42,LT-03209 ,,,Vilnius,LITHUANIA  REPUBLIC OF,,true,True
655,669,LIBERIAN INTERNATIONAL SHIP & CORPORATE REGISTRY,8619 Westwood Center Drive  Suite 300,Suite 300,,Virginia,Vienna,UNITED STATES OF AMERICA,22182,true,True
655,670,Ministry of Labour,P.O. Box 10-9040,null,null,null,Monrovia 10,Liberia,null,false,False
655,671,Liberia Maritime Authority (LMA),Tubman Boulevard  Sinkor,null,null,null,Monrovia,Liberia,null,false,False
654,668,Latvian Maritime Authority,5 Trijadibas Str,null,null,null,Riga,Latvia,LV-1048,true,True
653,667,Minitry of Oceans and Fisheries,Sejong Government Complex,94  Dasom 2ro,null,Republic of Korea,Sejong-si,Republic of Korea,30110,true,True
652,666,Ministry of Information  Communication and Transport  Marine Division,Betio P.O. Box 487,,,,Tarawa,KIRIBATI,,true,True
651,665,Kenya Maritime Authority,null,null,null,Kenya,Mombasa,Kenya,null,true,True
650,664,Ministry of Land  Infrastructure  Transport and Tourism (MLIT),2-1-3 Kasumigaseki,null,null,Tokyo,Chiyoda-ku,Japan,100-8918,true,True
649,663,Ministry of Transport - Directorate General for the supervision of port authorities  port facilities and maritime transport and inland waterways,Viale dell Arte  16,null,null,null,Rome,Italy,144,true,True
648,662,The Marine Survey Office (MSO) of the Irish Maritime Administration (IMA),Department of Transport  Tourism and Sport,Leeson Lane,null,null,Dublin 2,Ireland,null,true,True
647,661,Director General of Marine Operation & Maritime Safety,null,null,null,null,null,Iran  Islamic Republic of,null,true,True
646,660,Mercantile Marine Dept  Pratishtha Bhavan,101 Maharshi Karve Road,,,,Mumbai,INDIA,,true,True
645,659,National Transport Authority  Road  Railway and Shipping Authority  Department for Shipping,Teréz krt. 62,null,null,null,Budapest,Hungary,H-1066,true,True
644,658,Ministry of Shipping  Maritime Affairs & the Aegean,Akti vaseliadi,Gates E1-E2,null,null,Piraeus,Greece,18510,true,True
643,656,Berufsgenossenschaft fuer Transport und Verkehrswirtschaft (BG Verkehr),Dienststelle Schiffssicherheit der BG Verkehr,Brandstwiete 1,null,null,Hamburg,Germany,D-20457,true,True
643,657,Berufsgenossenschaft fuer Transport und Verkehrswirtschaft (BG Verkehr),Dienststelle Schiffssicherheit der BG Verkehr,Brandstwiete 1,null,null,Hamburg,Germany,D-20457,false,False
642,655,The Ghana Maritime Authority (GMA),No. E354/3  3rd Avenue  East Ridge,Ministries Post Office,null,Accra,null,Ghana,PMB 34,true,True
641,654,null,null,null,null,null,null,Gabon,null,true,True
640,652,Direction des affaires maritimes (DAM),Grande Arche,Paroi Sud,null,null,Paris-La-Défense Cedex,France,92055,true,True
640,653,Direction des Affaires Maritimes,2 bis  rue Félix Russeil,BP. 36,null,null,Noumea Cedex,France,98845,true,True
639,651,The Ministry of Employment and the Economy,Aleksanterinkatu 4,P.O. Box 32  FI-00023 GOVERNMENT,null,null,Helsinki,Finland,null,true,True
638,650,The Maritime Safety Authority of Fiji (MSAF), Level 4 Kadavu House,414 Victoria Parade,null,null,Suva,Fiji,null,true,True
637,649,The Faroese Maritime Authority,null,null,null,null,null,Denmark ,null,true,True
636,648,Danish Maritime Authority,Fjordvænget 30,,,,DK-4220 Korsør,DENMARK,,true,True
635,647,Ministry of Communications and Works Department of Merchant Shipping (DMS),P.O. Box 56193,null,null,null, Lemesos,Cyprus,3305,true,True
634,646, Ministry of Maritime Affairs  Transport and Infrastructure,Prisavlje 14,HR-10000,null,null,Zagreb,Croatia,null,true,True
633,645,null,null,null,null,null,null,Congo,null,true,True
632,644,Transport Canada  Safety and Security,330 Sparks Street  11th floor (AMS),Place de Ville  Tower C,null,null,Ottawa,Canada,K1A 0N8,true,True
631,643,null,null,null,null,null,null,null,null,true,True
630,642,Bulgarian Maritime Administration (BMA),Diakon Ignatii Str,9. - 1000,null,null,Sofia,Bulgaria,null,true,True
629,641,Federal Ministry of Labor and Social Policy,Marka Marulica 2,null,null,null,Sarajevo,Bosnia and Herzegovina,71000,true,True
628,640,Ministry of Labour and Public Administration of Benin,null,null,null,null,null,Benin,null,true,True
627,639,International Merchant Marine Registry of Belize (IMMARBE),Marina Towers,Suite 204,Newton Barracks,null,Belize City,Belize,null,true,True
626,638,Federal Public Service Mobility and Transport  Maritime Transport,Directorate General Shipping,City Atrium,Vooruitgangstraat 56 / Rue du Progres 56,, Brussels,BELGIUM,B-1210 ,true,True
625,637,Ministry of Labour,3rd Floor West ,Warrens Office Complex,null,null,St. Michael,Barbados,null,true,True
624,636,null,null,null,null,null,null,Bangladesh,null,true,True
623,635,The Bahamas Maritime Authority,Shirlaw House  87 Shirley Street,PO Box N-4679,null,null,Nassau,Bahamas,null,true,True
622,634,Australian Maritime Safety Authority (AMSA),AMSA Head Office  Information Centre,82 Northbourne Avenue,null,null,Braddon ACT,Australia,2612,true,True
621,633,Prefectura Naval Argentina,Av. Eduardo Madero 235,C1106ACC,,,Ciudad Autónoma de Buenos Aires ,ARGENTINA,,true,True
620,632,Antigua and Barbuda Department of Marine Services and Merchant Shipping (ADOMS),Corner of Popeshead and Dickenson Bay Streets,P.O. Box 1394,null,Antigua  W.I., St. John’s,Antigua and Barbuda,1394,true,True
618,630,Viet nam Maritime Administration,No. 8 Pham Hung - Mai Dich,null,null,null,Cau Giay - Ha Noi,Vietnam,null,true,True
617,629,Isle of Man Ship Registry,St Georges Court,Upper Church Street,null,Isle of Man,Douglas,United Kingdom,IM1 1EX,true,True
616,628,Gibraltar Maritime Administration (GMA),Watergate House 2/8 Casemates Square,P.O. Box 71,null,null,null,United Kingdom,null,true,True
615,627,Maritime Authority of the Cayman Islands - Cayman Islands Shipping Registry (CISR),3rd Floor  Kirk House,22 Albert Panton Street,null,Cayman Islands,George Town  Grand Cayman,United Kingdom,Box 2256,true,True
614,626,null,null,null,null,null,null,United Kingdom,null,true,True
614,734,Bermuda Government,Bermuda Shipping and Maritime Authority,3rd Floor  Global House ,43 Church Street,,Hamilton ,BERMUDA,HM 12,false,False
613,625,Civil Liability Certificates (CLC) Team,Maritime & Coastguard Agency,Registry of Shipping and Seamen,Anchor Court  Keen Road,,Cardiff,UNITED KINGDOM,CF24 5JW,true,True
612,624,Tuvalu Ship Registry,null,null,null,Vaiaku  Funafuti,null,Tuvalu,null,true,True
611,622,Directorate of Maritime Affairs - International Ship Registry,IRB-Greece 110-112 Notara St,null,Piraeos,null,null,Greece,185-35,true,True
611,623,Togo Maritime Administration,null,null,null,null,null,null,null,false,False
610,621,Swiss Maritime Navigation Office (SMNO),Elisabethenstrasse 33,P.O. Box,null,null,Basel,Switzerland,CH-4010,true,True
609,620,Swedish Transport Agency, SE-601 73 Norrkoping,null,null,null,null,Sweden,null,true,True
608,619,Ministry of Development  Director General of the Merchant Marine,C/ Ruiz de Alarcón  1,null,null,null,Madrid,Spain,28071,true,True
607,618,South African Maritime Safety Authority (SAMSA),146 Lunnon Road Cnr Jan Shoba & Lunnon Road,null,null,Pretoria,Hillcrest,South Africa,183,true,True
606,617,Maritime and Port Authority of Singapore (MPA), MPA Shipping Division  460 Alexandra Road,#21-00  PSA Building,null,Singapore,null,Singapore,119963,true,True
605,616,null,null,null,null,null,null,Seychelles,null,true,True
604,615, Ministry of Construction  Transport and Infrastructure - Sector for Water Transport and Safety of Navigation,Nemanjina 22-26,null,null,Serbia,Belgrade,Serbia,11000,true,True
603,614,null,null,null,null,null,null,Samoa,null,true,True
602,613,St. Kitts & Nevis International Ship Registry,Stolt-Nielsen House  1-5 Oldchurch Road,Romford  Essex,null,null,null,Saint Kitts and Nevis,RM7 0BQ,true,True
601,612,St. Vincent & the Grenadines Maritime Administration, Cruise Ship Berth,P.O. Box 2857,null,null,Kingstown,Saint Vincent and the Grenadines,null,true,True
600,611,Ministry of Transport of the Russian Federation (MINTRAS),ul.Rozhdestvenka  1  p.1,null,null,null,Moscow,RUSSIAN FEDERATION,109012,true,True
599,610,Ministry of Maritime Economy and Inland Navigation,Department of Maritime Economy,Nowy Swiat 6/12,null,null,Warsaw,Poland,00-400,true,True
598,607,Philippine Overseas Employment Administration (POEA),Blas F. Ople Building,Ortigas Avenue corner EDSA,null,null,Mandaluyong City,Philippines,null,true,True
598,608,Department of Labor and Employment (DOLE),5/f DOLE Building,Gen. Luna Wing  Intramuros,null,null,Manila,Philippines,null,false,False
598,609,Maritime Industry Authority (MARINA),984 Parkview Plaza,Taft Avenue corner Kalaw Street,null,null,Manila,Philippines,null,false,False
597,606,Panama Maritime Authority,PanCanal Building,Ave. Omar Torrijos Herrera-Albrook,null,Panama City,0843 Balboa Ancón,Panama,533,true,True
596,605,Palau International Ship Registry,16701 Greenspoint Park Drive  Suite 155,null,null,TX,Houston,USA,77060,true,True
595,604,Norwegian Maritime Authority (NMA),P.O.Box 2222,null,null,null,Haugesund,Norway,NO-5509,true,True
594,603,The Nigerian Maritime Administration and Safety Agency (NIMASA),Maritime House,#4  Burma Road  Apapa 5804800 - 4,null,null,Lagos,Nigeria,null,true,True
593,602,null,null,null,null,null,null,Nicaragua,null,true,True
592,601,Directorate of Shipping & Maritime Affairs,Seru Mahuma z/n,,,,Netherlands Antilles,CURACAO,,true,True
591,600,Ministery of Infrastructure and Water Management,Netherlands Shipping Inspectorate,Postbox 16191,,,2500 BD Den Haag,NETHERLANDS,,true,True
590,598,Ministry of Equipment and Transport, Boulevard Houphouet Boigny,null,null,null,Casablanca,Morocco,null,true,True
589,597,null,null,null,null,null,null,Montenegro,null,true,True
588,719,Mongolia Maritime Administration (Operations),Mongolia Ship Registry ,133 New Bridge Road,,,16-02 Chinatown Point 059413,SINGAPORE  REPUBLIC OF,,false,False
587,595,Ministry of Public Infrastructure,National Development Unit,Land Transport and Shipping,4th Floor  New Government Centre,,Port- Louis,MAURITIUS,,true,True
586,594,Marshall Islands Maritime and Corporate Administrators  Inc. c/o International Registries  Inc.,Attn: Regulatory Affairs,11495 Commerce Park Drive,null,VA,Reston,Marshall Islands,20191-1506,true,True
585,593,Transport Malta  Ports & Yachting Directorate,Malta Transport Centre,null,null,null,Marsa,Malta,MRS 1917,true,True
584,592,null,null,null,null,null,null,null,null,true,True
583,591,Marine Department of Malaysia,P.O. Box 12 Jalan Limbungan,null,null,null,Port Klang Selangor,Malaysia,42007,true,True
582,590,Luxembourg Maritime Administration,19-21  Boulevard Royal,null,null,null,null,Luxembourg,L-2449,true,True
581,589,Lithuanian Transport Safety Administration,Svitrigailos str. 42,LT-03209 ,,,Vilnius,LITHUANIA  REPUBLIC OF,,true,True
580,586,LIBERIAN INTERNATIONAL SHIP & CORPORATE REGISTRY,8619 Westwood Center Drive  Suite 300,,,Virginia,Vienna,UNITED STATES OF AMERICA,22182,true,True
580,587,Ministry of Labour,P.O. Box 10-9040,null,null,null,Monrovia 10,Liberia,null,false,False
580,588,Liberia Maritime Authority (LMA),Tubman Boulevard  Sinkor,null,null,null,Monrovia,Liberia,null,false,False
579,585,Latvian Maritime Authority,5 Trijadibas Str,null,null,null,Riga,Latvia,LV-1048,true,True
578,584,Minitry of Oceans and Fisheries,Sejong Government Complex,94  Dasom 2ro,null,Republic of Korea,Sejong-si,Republic of Korea,30110,true,True
577,583,Ministry of Information  Communication and Transport  Marine Division,Betio P.O. Box 487,,,,Tarawa,KIRIBATI,,true,True
576,582,Kenya Maritime Authority,null,null,null,Kenya,Mombasa,Kenya,null,true,True
575,581,Ministry of Land  Infrastructure  Transport and Tourism (MLIT),2-1-3 Kasumigaseki,null,null,Tokyo,Chiyoda-ku,Japan,100-8918,true,True
574,580,Ministry of Transport - Directorate General for the supervision of port authorities  port facilities and maritime transport and inland waterways,Viale dell Arte  16,null,null,null,Rome,Italy,144,true,True
573,579,The Marine Survey Office (MSO) of the Irish Maritime Administration (IMA),Department of Transport  Tourism and Sport,Leeson Lane,null,null,Dublin 2,Ireland,null,true,True
572,578,Director General of Marine Operation & Maritime Safety,null,null,null,null,null,Iran  Islamic Republic of,null,true,True
571,577,Mercantile Marine Dept  Pratishtha Bhavan,101 Maharshi Karve Road,,,,Mumbai,INDIA,,true,True
570,576,National Transport Authority  Road  Railway and Shipping Authority  Department for Shipping,Teréz krt. 62,null,null,null,Budapest,Hungary,H-1066,true,True
569,575,Ministry of Shipping  Maritime Affairs & the Aegean,Akti vaseliadi,Gates E1-E2,null,null,Piraeus,Greece,18510,true,True
568,573,Berufsgenossenschaft fuer Transport und Verkehrswirtschaft (BG Verkehr),Dienststelle Schiffssicherheit der BG Verkehr,Brandstwiete 1,null,null,Hamburg,Germany,D-20457,true,True
568,574,Berufsgenossenschaft fuer Transport und Verkehrswirtschaft (BG Verkehr),Dienststelle Schiffssicherheit der BG Verkehr,Brandstwiete 1,null,null,Hamburg,Germany,D-20457,false,False
567,572,The Ghana Maritime Authority (GMA),No. E354/3  3rd Avenue  East Ridge,Ministries Post Office,null,Accra,null,Ghana,PMB 34,true,True
566,571,null,null,null,null,null,null,Gabon,null,true,True
