SQL_SignatoryStateId,API_SignatoryStateId,SQL_CountryName,API_CountryName,SQL_ShortName,API_ShortName,SQL_TradingCertTypeId,API_TradingCertTypeId,Test Case Status
725,725,BAHRAIN  STATE OF,BAHRAIN  STATE OF,BHR,BHR,1,1,Test Case Passed
726,726,BAHRAIN  STATE OF,BAHRAIN  STATE OF,BHR,BHR,2,2,Test Case Passed
549,549,BANGLADESH,BANGLADESH,BGD,BGD,25,25,Test Case Passed
624,624,BANGLADESH,BANGLADESH,BGD,BGD,26,26,Test Case Passed
39,39,BARBADOS,BARBADOS,BRB,BRB,1,1,Test Case Passed
38,38,BARBADOS,BARBADOS,BRB,BRB,2,2,Test Case Passed
40,40,BARBADOS,BARBADOS,BRB,BRB,3,3,Test Case Passed
41,41,BARBADOS,BARBADOS,BRB,BRB,4,4,Test Case Passed
550,550,BARBADOS,BARBADOS,BRB,BRB,25,25,Test Case Passed
625,625,BARBADOS,BARBADOS,BRB,BRB,26,26,Test Case Passed
47,47,BELGIUM,BELGIUM,BEL,BEL,1,1,Test Case Passed
46,46,BELGIUM,BELGIUM,BEL,BEL,2,2,Test Case Passed
48,48,BELGIUM,BELGIUM,BEL,BEL,3,3,Test Case Passed
49,49,BELGIUM,BELGIUM,BEL,BEL,4,4,Test Case Passed
707,707,BELGIUM,BELGIUM,BEL,BEL,5,5,Test Case Passed
551,551,BELGIUM,BELGIUM,BEL,BEL,25,25,Test Case Passed
626,626,BELGIUM,BELGIUM,BEL,BEL,26,26,Test Case Passed
43,43,BELIZE,BELIZE,BLZ,BLZ,1,1,Test Case Passed
42,42,BELIZE,BELIZE,BLZ,BLZ,2,2,Test Case Passed
44,44,BELIZE,BELIZE,BLZ,BLZ,3,3,Test Case Passed
45,45,BELIZE,BELIZE,BLZ,BLZ,4,4,Test Case Passed
722,722,BELIZE,BELIZE,BLZ,BLZ,5,5,Test Case Passed
552,552,BELIZE,BELIZE,BLZ,BLZ,25,25,Test Case Passed
627,627,BELIZE,BELIZE,BLZ,BLZ,26,26,Test Case Passed
553,553,BENIN  REPUBLIC OF,BENIN  REPUBLIC OF,BEN,BEN,25,25,Test Case Passed
628,628,BENIN  REPUBLIC OF,BENIN  REPUBLIC OF,BEN,BEN,26,26,Test Case Passed
51,51,BERMUDA,BERMUDA,BMU,BMU,1,1,Test Case Passed
50,50,BERMUDA,BERMUDA,BMU,BMU,2,2,Test Case Passed
52,52,BERMUDA,BERMUDA,BMU,BMU,3,3,Test Case Passed
53,53,BERMUDA,BERMUDA,BMU,BMU,4,4,Test Case Passed
614,614,BERMUDA,BERMUDA,BMU,BMU,25,25,Test Case Passed
689,689,BERMUDA,BERMUDA,BMU,BMU,26,26,Test Case Passed
554,554,BOSNIA HERCEGOVINA,BOSNIA HERCEGOVINA,BIH,BIH,25,25,Test Case Passed
629,629,BOSNIA HERCEGOVINA,BOSNIA HERCEGOVINA,BIH,BIH,26,26,Test Case Passed
54,54,BRAZIL,BRAZIL,BRA,BRA,2,2,Test Case Passed
55,55,BRAZIL,BRAZIL,BRA,BRA,3,3,Test Case Passed
56,56,BRAZIL,BRAZIL,BRA,BRA,4,4,Test Case Passed
63,63,BRITISH VIRGIN ISLANDS,BRITISH VIRGIN ISLANDS,VGB,VGB,1,1,Test Case Passed
62,62,BRITISH VIRGIN ISLANDS,BRITISH VIRGIN ISLANDS,VGB,VGB,2,2,Test Case Passed
64,64,BRITISH VIRGIN ISLANDS,BRITISH VIRGIN ISLANDS,VGB,VGB,3,3,Test Case Passed
65,65,BRITISH VIRGIN ISLANDS,BRITISH VIRGIN ISLANDS,VGB,VGB,4,4,Test Case Passed
58,58,BULGARIA,BULGARIA,BGR,BGR,1,1,Test Case Passed
57,57,BULGARIA,BULGARIA,BGR,BGR,2,2,Test Case Passed
60,60,BULGARIA,BULGARIA,BGR,BGR,3,3,Test Case Passed
61,61,BULGARIA,BULGARIA,BGR,BGR,4,4,Test Case Passed
59,59,BULGARIA,BULGARIA,BGR,BGR,5,5,Test Case Passed
555,555,BULGARIA,BULGARIA,BGR,BGR,25,25,Test Case Passed
630,630,BULGARIA,BULGARIA,BGR,BGR,26,26,Test Case Passed
66,66,CAMBODIA,CAMBODIA,KHM,KHM,2,2,Test Case Passed
67,67,CAMBODIA,CAMBODIA,KHM,KHM,3,3,Test Case Passed
68,68,CAMBODIA,CAMBODIA,KHM,KHM,4,4,Test Case Passed
69,69,CAMEROON,CAMEROON,CMR,CMR,2,2,Test Case Passed
70,70,CAMEROON,CAMEROON,CMR,CMR,3,3,Test Case Passed
71,71,CAMEROON,CAMEROON,CMR,CMR,4,4,Test Case Passed
73,73,CANADA,CANADA,CAN,CAN,1,1,Test Case Passed
72,72,CANADA,CANADA,CAN,CAN,2,2,Test Case Passed
74,74,CANADA,CANADA,CAN,CAN,3,3,Test Case Passed
75,75,CANADA,CANADA,CAN,CAN,4,4,Test Case Passed
730,730,CANADA,CANADA,CAN,CAN,5,5,Test Case Passed
557,557,CANADA,CANADA,CAN,CAN,25,25,Test Case Passed
632,632,CANADA,CANADA,CAN,CAN,26,26,Test Case Passed
556,556,CAPE VERDE  REPUBLIC OF,CAPE VERDE  REPUBLIC OF,CPV,CPV,25,25,Test Case Passed
631,631,CAPE VERDE  REPUBLIC OF,CAPE VERDE  REPUBLIC OF,CPV,CPV,26,26,Test Case Passed
77,77,CAYMAN ISLANDS,CAYMAN ISLANDS,CYM,CYM,1,1,Test Case Passed
76,76,CAYMAN ISLANDS,CAYMAN ISLANDS,CYM,CYM,2,2,Test Case Passed
78,78,CAYMAN ISLANDS,CAYMAN ISLANDS,CYM,CYM,3,3,Test Case Passed
79,79,CAYMAN ISLANDS,CAYMAN ISLANDS,CYM,CYM,4,4,Test Case Passed
704,704,CAYMAN ISLANDS,CAYMAN ISLANDS,CYM,CYM,5,5,Test Case Passed
615,615,CAYMAN ISLANDS,CAYMAN ISLANDS,CYM,CYM,25,25,Test Case Passed
690,690,CAYMAN ISLANDS,CAYMAN ISLANDS,CYM,CYM,26,26,Test Case Passed
81,81,CHILE,CHILE,CHL,CHL,2,2,Test Case Passed
82,82,CHILE,CHILE,CHL,CHL,3,3,Test Case Passed
83,83,CHILE,CHILE,CHL,CHL,4,4,Test Case Passed
502,502,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,CHN,CHN,1,1,Test Case Passed
501,501,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,CHN,CHN,2,2,Test Case Passed
504,504,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,CHN,CHN,3,3,Test Case Passed
505,505,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,CHN,CHN,4,4,Test Case Passed
699,699,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,CHN,CHN,5,5,Test Case Passed
695,695,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,CHN,CHN,25,25,Test Case Passed
696,696,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,CHN,CHN,26,26,Test Case Passed
89,89,COLOMBIA,COLOMBIA,COL,COL,3,3,Test Case Passed
90,90,COLOMBIA,COLOMBIA,COL,COL,4,4,Test Case Passed
719,719,COMOROS,COMOROS,COM,COM,1,1,Test Case Passed
723,723,COMOROS,COMOROS,COM,COM,2,2,Test Case Passed
718,718,COMOROS,COMOROS,COM,COM,5,5,Test Case Passed
558,558,CONGO  REPUBLIC OF THE,CONGO  REPUBLIC OF THE,COG,COG,25,25,Test Case Passed
633,633,CONGO  REPUBLIC OF THE,CONGO  REPUBLIC OF THE,COG,COG,26,26,Test Case Passed
84,84,COOK ISLANDS,COOK ISLANDS,COK,COK,1,1,Test Case Passed
85,85,COOK ISLANDS,COOK ISLANDS,COK,COK,2,2,Test Case Passed
87,87,COOK ISLANDS,COOK ISLANDS,COK,COK,3,3,Test Case Passed
88,88,COOK ISLANDS,COOK ISLANDS,COK,COK,4,4,Test Case Passed
86,86,COOK ISLANDS,COOK ISLANDS,COK,COK,5,5,Test Case Passed
92,92,CROATIA  REPUBLIC OF,CROATIA  REPUBLIC OF,HRV,HRV,1,1,Test Case Passed
91,91,CROATIA  REPUBLIC OF,CROATIA  REPUBLIC OF,HRV,HRV,2,2,Test Case Passed
93,93,CROATIA  REPUBLIC OF,CROATIA  REPUBLIC OF,HRV,HRV,3,3,Test Case Passed
94,94,CROATIA  REPUBLIC OF,CROATIA  REPUBLIC OF,HRV,HRV,4,4,Test Case Passed
711,711,CROATIA  REPUBLIC OF,CROATIA  REPUBLIC OF,HRV,HRV,5,5,Test Case Passed
559,559,CROATIA  REPUBLIC OF,CROATIA  REPUBLIC OF,HRV,HRV,25,25,Test Case Passed
634,634,CROATIA  REPUBLIC OF,CROATIA  REPUBLIC OF,HRV,HRV,26,26,Test Case Passed
592,592,CURACAO,CURACAO,CUW,CUW,25,25,Test Case Passed
667,667,CURACAO,CURACAO,CUW,CUW,26,26,Test Case Passed
96,96,CYPRUS,CYPRUS,CYP,CYP,1,1,Test Case Passed
95,95,CYPRUS,CYPRUS,CYP,CYP,2,2,Test Case Passed
98,98,CYPRUS,CYPRUS,CYP,CYP,3,3,Test Case Passed
99,99,CYPRUS,CYPRUS,CYP,CYP,4,4,Test Case Passed
97,97,CYPRUS,CYPRUS,CYP,CYP,5,5,Test Case Passed
560,560,CYPRUS,CYPRUS,CYP,CYP,25,25,Test Case Passed
635,635,CYPRUS,CYPRUS,CYP,CYP,26,26,Test Case Passed
101,101,DENMARK,DENMARK,DNK,DNK,1,1,Test Case Passed
100,100,DENMARK,DENMARK,DNK,DNK,2,2,Test Case Passed
103,103,DENMARK,DENMARK,DNK,DNK,3,3,Test Case Passed
104,104,DENMARK,DENMARK,DNK,DNK,4,4,Test Case Passed
102,102,DENMARK,DENMARK,DNK,DNK,5,5,Test Case Passed
561,561,DENMARK,DENMARK,DNK,DNK,25,25,Test Case Passed
636,636,DENMARK,DENMARK,DNK,DNK,26,26,Test Case Passed
540,540,DOMINICA,DOMINICA,DMA,DMA,2,2,Test Case Passed
105,105,DOMINICA,DOMINICA,DMA,DMA,3,3,Test Case Passed
106,106,DOMINICA,DOMINICA,DMA,DMA,4,4,Test Case Passed
107,107,ECUADOR,ECUADOR,ECU,ECU,2,2,Test Case Passed
108,108,ECUADOR,ECUADOR,ECU,ECU,3,3,Test Case Passed
109,109,ECUADOR,ECUADOR,ECU,ECU,4,4,Test Case Passed
111,111,EGYPT  ARAB REPUBLIC OF,EGYPT  ARAB REPUBLIC OF,EGY,EGY,1,1,Test Case Passed
110,110,EGYPT  ARAB REPUBLIC OF,EGYPT  ARAB REPUBLIC OF,EGY,EGY,2,2,Test Case Passed
112,112,EGYPT  ARAB REPUBLIC OF,EGYPT  ARAB REPUBLIC OF,EGY,EGY,3,3,Test Case Passed
113,113,EGYPT  ARAB REPUBLIC OF,EGYPT  ARAB REPUBLIC OF,EGY,EGY,4,4,Test Case Passed
115,115,ESTONIA  REPUBLIC OF,ESTONIA  REPUBLIC OF,EST,EST,1,1,Test Case Passed
114,114,ESTONIA  REPUBLIC OF,ESTONIA  REPUBLIC OF,EST,EST,2,2,Test Case Passed
116,116,ESTONIA  REPUBLIC OF,ESTONIA  REPUBLIC OF,EST,EST,3,3,Test Case Passed
117,117,ESTONIA  REPUBLIC OF,ESTONIA  REPUBLIC OF,EST,EST,4,4,Test Case Passed
562,562,FAROE ISLANDS,FAROE ISLANDS,FRO,FRO,25,25,Test Case Passed
637,637,FAROE ISLANDS,FAROE ISLANDS,FRO,FRO,26,26,Test Case Passed
563,563,FIJI,FIJI,FJI,FJI,25,25,Test Case Passed
638,638,FIJI,FIJI,FJI,FJI,26,26,Test Case Passed
119,119,FINLAND,FINLAND,FIN,FIN,1,1,Test Case Passed
118,118,FINLAND,FINLAND,FIN,FIN,2,2,Test Case Passed
120,120,FINLAND,FINLAND,FIN,FIN,3,3,Test Case Passed
121,121,FINLAND,FINLAND,FIN,FIN,4,4,Test Case Passed
706,706,FINLAND,FINLAND,FIN,FIN,5,5,Test Case Passed
564,564,FINLAND,FINLAND,FIN,FIN,25,25,Test Case Passed
639,639,FINLAND,FINLAND,FIN,FIN,26,26,Test Case Passed
123,123,FRANCE,FRANCE,FRA,FRA,1,1,Test Case Passed
122,122,FRANCE,FRANCE,FRA,FRA,2,2,Test Case Passed
124,124,FRANCE,FRANCE,FRA,FRA,3,3,Test Case Passed
125,125,FRANCE,FRANCE,FRA,FRA,4,4,Test Case Passed
542,542,FRANCE,FRANCE,FRA,FRA,5,5,Test Case Passed
565,565,FRANCE,FRANCE,FRA,FRA,25,25,Test Case Passed
640,640,FRANCE,FRANCE,FRA,FRA,26,26,Test Case Passed
701,701,FRANCE (RIF),FRANCE (RIF),RIF,RIF,1,1,Test Case Passed
168,168,FRANCE (RIF),FRANCE (RIF),RIF,RIF,2,2,Test Case Passed
169,169,FRANCE (RIF),FRANCE (RIF),RIF,RIF,3,3,Test Case Passed
170,170,FRANCE (RIF),FRANCE (RIF),RIF,RIF,4,4,Test Case Passed
733,733,GABON,GABON,GAB,GAB,1,1,Test Case Passed
734,734,GABON,GABON,GAB,GAB,2,2,Test Case Passed
735,735,GABON,GABON,GAB,GAB,5,5,Test Case Passed
566,566,GABON,GABON,GAB,GAB,25,25,Test Case Passed
641,641,GABON,GABON,GAB,GAB,26,26,Test Case Passed
202,202,GERMANY,GERMANY,DEU,DEU,1,1,Test Case Passed
201,201,GERMANY,GERMANY,DEU,DEU,2,2,Test Case Passed
204,204,GERMANY,GERMANY,DEU,DEU,3,3,Test Case Passed
205,205,GERMANY,GERMANY,DEU,DEU,4,4,Test Case Passed
203,203,GERMANY,GERMANY,DEU,DEU,5,5,Test Case Passed
568,568,GERMANY,GERMANY,DEU,DEU,25,25,Test Case Passed
643,643,GERMANY,GERMANY,DEU,DEU,26,26,Test Case Passed
567,567,GHANA,GHANA,GHA,GHA,25,25,Test Case Passed
642,642,GHANA,GHANA,GHA,GHA,26,26,Test Case Passed
207,207,GIBRALTAR,GIBRALTAR,GIB,GIB,1,1,Test Case Passed
206,206,GIBRALTAR,GIBRALTAR,GIB,GIB,2,2,Test Case Passed
208,208,GIBRALTAR,GIBRALTAR,GIB,GIB,3,3,Test Case Passed
209,209,GIBRALTAR,GIBRALTAR,GIB,GIB,4,4,Test Case Passed
705,705,GIBRALTAR,GIBRALTAR,GIB,GIB,5,5,Test Case Passed
616,616,GIBRALTAR,GIBRALTAR,GIB,GIB,25,25,Test Case Passed
691,691,GIBRALTAR,GIBRALTAR,GIB,GIB,26,26,Test Case Passed
211,211,GREECE,GREECE,GRC,GRC,1,1,Test Case Passed
210,210,GREECE,GREECE,GRC,GRC,2,2,Test Case Passed
212,212,GREECE,GREECE,GRC,GRC,3,3,Test Case Passed
213,213,GREECE,GREECE,GRC,GRC,4,4,Test Case Passed
569,569,GREECE,GREECE,GRC,GRC,25,25,Test Case Passed
644,644,GREECE,GREECE,GRC,GRC,26,26,Test Case Passed
215,215,HONG KONG,HONG KONG,HKG,HKG,1,1,Test Case Passed
214,214,HONG KONG,HONG KONG,HKG,HKG,2,2,Test Case Passed
216,216,HONG KONG,HONG KONG,HKG,HKG,3,3,Test Case Passed
217,217,HONG KONG,HONG KONG,HKG,HKG,4,4,Test Case Passed
219,219,HUNGARY,HUNGARY,HUN,HUN,1,1,Test Case Passed
218,218,HUNGARY,HUNGARY,HUN,HUN,2,2,Test Case Passed
220,220,HUNGARY,HUNGARY,HUN,HUN,3,3,Test Case Passed
221,221,HUNGARY,HUNGARY,HUN,HUN,4,4,Test Case Passed
570,570,HUNGARY,HUNGARY,HUN,HUN,25,25,Test Case Passed
645,645,HUNGARY,HUNGARY,HUN,HUN,26,26,Test Case Passed
222,222,INDIA,INDIA,IND,IND,2,2,Test Case Passed
224,224,INDIA,INDIA,IND,IND,3,3,Test Case Passed
225,225,INDIA,INDIA,IND,IND,4,4,Test Case Passed
223,223,INDIA,INDIA,IND,IND,5,5,Test Case Passed
571,571,INDIA,INDIA,IND,IND,25,25,Test Case Passed
646,646,INDIA,INDIA,IND,IND,26,26,Test Case Passed
251,251,INDONESIA,INDONESIA,IDN,IDN,1,1,Test Case Passed
250,250,INDONESIA,INDONESIA,IDN,IDN,2,2,Test Case Passed
252,252,INDONESIA,INDONESIA,IDN,IDN,3,3,Test Case Passed
253,253,INDONESIA,INDONESIA,IDN,IDN,4,4,Test Case Passed
697,697,INDONESIA,INDONESIA,IDN,IDN,25,25,Test Case Passed
698,698,INDONESIA,INDONESIA,IDN,IDN,26,26,Test Case Passed
572,572,IRAN,IRAN,IRN,IRN,25,25,Test Case Passed
647,647,IRAN,IRAN,IRN,IRN,26,26,Test Case Passed
255,255,IRELAND REPUBLIC OF,IRELAND REPUBLIC OF,IRL,IRL,1,1,Test Case Passed
254,254,IRELAND REPUBLIC OF,IRELAND REPUBLIC OF,IRL,IRL,2,2,Test Case Passed
256,256,IRELAND REPUBLIC OF,IRELAND REPUBLIC OF,IRL,IRL,3,3,Test Case Passed
257,257,IRELAND REPUBLIC OF,IRELAND REPUBLIC OF,IRL,IRL,4,4,Test Case Passed
573,573,IRELAND REPUBLIC OF,IRELAND REPUBLIC OF,IRL,IRL,25,25,Test Case Passed
648,648,IRELAND REPUBLIC OF,IRELAND REPUBLIC OF,IRL,IRL,26,26,Test Case Passed
259,259,ISLE OF MAN,ISLE OF MAN,IOM,IOM,1,1,Test Case Passed
258,258,ISLE OF MAN,ISLE OF MAN,IOM,IOM,2,2,Test Case Passed
260,260,ISLE OF MAN,ISLE OF MAN,IOM,IOM,3,3,Test Case Passed
261,261,ISLE OF MAN,ISLE OF MAN,IOM,IOM,4,4,Test Case Passed
537,537,ISLE OF MAN,ISLE OF MAN,IOM,IOM,5,5,Test Case Passed
617,617,ISLE OF MAN,ISLE OF MAN,IOM,IOM,25,25,Test Case Passed
692,692,ISLE OF MAN,ISLE OF MAN,IOM,IOM,26,26,Test Case Passed
263,263,ITALY,ITALY,ITA,ITA,1,1,Test Case Passed
262,262,ITALY,ITALY,ITA,ITA,2,2,Test Case Passed
264,264,ITALY,ITALY,ITA,ITA,3,3,Test Case Passed
265,265,ITALY,ITALY,ITA,ITA,4,4,Test Case Passed
574,574,ITALY,ITALY,ITA,ITA,25,25,Test Case Passed
649,649,ITALY,ITALY,ITA,ITA,26,26,Test Case Passed
721,721,IVORY COAST,IVORY COAST,CIV,CIV,1,1,Test Case Passed
267,267,JAMAICA,JAMAICA,JAM,JAM,1,1,Test Case Passed
266,266,JAMAICA,JAMAICA,JAM,JAM,2,2,Test Case Passed
268,268,JAMAICA,JAMAICA,JAM,JAM,3,3,Test Case Passed
269,269,JAMAICA,JAMAICA,JAM,JAM,4,4,Test Case Passed
270,270,JAPAN,JAPAN,JPN,JPN,2,2,Test Case Passed
271,271,JAPAN,JAPAN,JPN,JPN,3,3,Test Case Passed
272,272,JAPAN,JAPAN,JPN,JPN,4,4,Test Case Passed
575,575,JAPAN,JAPAN,JPN,JPN,25,25,Test Case Passed
650,650,JAPAN,JAPAN,JPN,JPN,26,26,Test Case Passed
274,274,JORDAN,JORDAN,JOR,JOR,1,1,Test Case Passed
273,273,JORDAN,JORDAN,JOR,JOR,2,2,Test Case Passed
275,275,JORDAN,JORDAN,JOR,JOR,3,3,Test Case Passed
276,276,JORDAN,JORDAN,JOR,JOR,4,4,Test Case Passed
716,716,JORDAN,JORDAN,JOR,JOR,5,5,Test Case Passed
576,576,KENYA,KENYA,KEN,KEN,25,25,Test Case Passed
651,651,KENYA,KENYA,KEN,KEN,26,26,Test Case Passed
278,278,KIRIBATI,KIRIBATI,KIR,KIR,1,1,Test Case Passed
277,277,KIRIBATI,KIRIBATI,KIR,KIR,2,2,Test Case Passed
279,279,KIRIBATI,KIRIBATI,KIR,KIR,3,3,Test Case Passed
280,280,KIRIBATI,KIRIBATI,KIR,KIR,4,4,Test Case Passed
577,577,KIRIBATI,KIRIBATI,KIR,KIR,25,25,Test Case Passed
652,652,KIRIBATI,KIRIBATI,KIR,KIR,26,26,Test Case Passed
389,389,KOREA  REPUBLIC OF,KOREA  REPUBLIC OF,KOR,KOR,1,1,Test Case Passed
385,385,KOREA  REPUBLIC OF,KOREA  REPUBLIC OF,KOR,KOR,2,2,Test Case Passed
386,386,KOREA  REPUBLIC OF,KOREA  REPUBLIC OF,KOR,KOR,3,3,Test Case Passed
387,387,KOREA  REPUBLIC OF,KOREA  REPUBLIC OF,KOR,KOR,4,4,Test Case Passed
727,727,KOREA  REPUBLIC OF,KOREA  REPUBLIC OF,KOR,KOR,5,5,Test Case Passed
578,578,KOREA  REPUBLIC OF,KOREA  REPUBLIC OF,KOR,KOR,25,25,Test Case Passed
653,653,KOREA  REPUBLIC OF,KOREA  REPUBLIC OF,KOR,KOR,26,26,Test Case Passed
281,281,KUWAIT,KUWAIT,KWT,KWT,2,2,Test Case Passed
282,282,KUWAIT,KUWAIT,KWT,KWT,3,3,Test Case Passed
283,283,KUWAIT,KUWAIT,KWT,KWT,4,4,Test Case Passed
285,285,LATVIA  REPUBLIC OF,LATVIA  REPUBLIC OF,LVA,LVA,1,1,Test Case Passed
284,284,LATVIA  REPUBLIC OF,LATVIA  REPUBLIC OF,LVA,LVA,2,2,Test Case Passed
286,286,LATVIA  REPUBLIC OF,LATVIA  REPUBLIC OF,LVA,LVA,3,3,Test Case Passed
287,287,LATVIA  REPUBLIC OF,LATVIA  REPUBLIC OF,LVA,LVA,4,4,Test Case Passed
579,579,LATVIA  REPUBLIC OF,LATVIA  REPUBLIC OF,LVA,LVA,25,25,Test Case Passed
654,654,LATVIA  REPUBLIC OF,LATVIA  REPUBLIC OF,LVA,LVA,26,26,Test Case Passed
289,289,LIBERIA,LIBERIA,LBR,LBR,1,1,Test Case Passed
288,288,LIBERIA,LIBERIA,LBR,LBR,2,2,Test Case Passed
290,290,LIBERIA,LIBERIA,LBR,LBR,3,3,Test Case Passed
291,291,LIBERIA,LIBERIA,LBR,LBR,4,4,Test Case Passed
292,292,LIBERIA,LIBERIA,LBR,LBR,5,5,Test Case Passed
580,580,LIBERIA,LIBERIA,LBR,LBR,25,25,Test Case Passed
655,655,LIBERIA,LIBERIA,LBR,LBR,26,26,Test Case Passed
296,296,LITHUANIA  REPUBLIC OF,LITHUANIA  REPUBLIC OF,LTU,LTU,1,1,Test Case Passed
295,295,LITHUANIA  REPUBLIC OF,LITHUANIA  REPUBLIC OF,LTU,LTU,2,2,Test Case Passed
297,297,LITHUANIA  REPUBLIC OF,LITHUANIA  REPUBLIC OF,LTU,LTU,3,3,Test Case Passed
298,298,LITHUANIA  REPUBLIC OF,LITHUANIA  REPUBLIC OF,LTU,LTU,4,4,Test Case Passed
581,581,LITHUANIA  REPUBLIC OF,LITHUANIA  REPUBLIC OF,LTU,LTU,25,25,Test Case Passed
656,656,LITHUANIA  REPUBLIC OF,LITHUANIA  REPUBLIC OF,LTU,LTU,26,26,Test Case Passed
300,300,LUXEMBOURG,LUXEMBOURG,LUX,LUX,1,1,Test Case Passed
299,299,LUXEMBOURG,LUXEMBOURG,LUX,LUX,2,2,Test Case Passed
301,301,LUXEMBOURG,LUXEMBOURG,LUX,LUX,3,3,Test Case Passed
302,302,LUXEMBOURG,LUXEMBOURG,LUX,LUX,4,4,Test Case Passed
582,582,LUXEMBOURG,LUXEMBOURG,LUX,LUX,25,25,Test Case Passed
657,657,LUXEMBOURG,LUXEMBOURG,LUX,LUX,26,26,Test Case Passed
304,304,MADEIRA,MADEIRA,PMD,PMD,1,1,Test Case Passed
303,303,MADEIRA,MADEIRA,PMD,PMD,2,2,Test Case Passed
305,305,MADEIRA,MADEIRA,PMD,PMD,3,3,Test Case Passed
306,306,MADEIRA,MADEIRA,PMD,PMD,4,4,Test Case Passed
729,729,MADEIRA,MADEIRA,PMD,PMD,5,5,Test Case Passed
308,308,MALAYSIA,MALAYSIA,MYS,MYS,1,1,Test Case Passed
307,307,MALAYSIA,MALAYSIA,MYS,MYS,2,2,Test Case Passed
