SQL_ApplicationId,SQL_BrokerId,API_BrokerId,SQL_BrokerReference,API_BrokerReference,SQL_PartyId,API_PartyId,SQL_CrmIdentifier,API_CrmIdentifier,SQL_OrganisationName,API_OrganisationName,SQL_Salutation,API_Salutation,SQL_FirstName,API_FirstName,SQL_MiddleName,API_MiddleName,SQL_LastName,API_LastName,SQL_SearchName,API_SearchName,SQL_EmailAddress,API_EmailAddress,SQL_Telephone,API_Telephone,SQL_Fax,API_Fax,SQL_AddressId,API_AddressId,SQL_AddressName,API_AddressName,SQL_Line1,API_Line1,SQL_Line2,API_Line2,SQL_Line3,API_Line3,SQL_City,API_City,SQL_StateOrProvince,API_StateOrProvince,SQL_Country,API_Country,SQL_Postcode,API_Postcode,Test Case Status
68036,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
70741,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
67284,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
70739,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
66552,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
70738,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
66559,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
70737,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
67282,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
70735,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
67281,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
70734,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
66393,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
70733,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
66578,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
70732,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
66573,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
70730,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
66571,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
70729,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
66215,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
70728,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
66191,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
70727,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
66390,1282,1282,7060,7060,111350,111350,A7CA4277-D54E-EA11-A812-000D3A86A8CF,a7ca4277-d54e-ea11-a812-000d3a86a8cf,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,null,null,null,null,null,null,null,null,Keppel SMIT Towage Pte Ltd,Keppel SMIT Towage Pte Ltd,nathalia.lossovska@boskalis.com,nathalia.lossovska@boskalis.com,66684304,66684304,null,null,111751,111751,23 Gul Road,23 Gul Road,null,null,null,null,null,null,Singapore 629356,Singapore 629356,null,null,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,null,null,Test case passed
71428,1281,1281,7059,7059,111257,111257,F8D4BB05-334D-EA11-A812-000D3A86A8CF,f8d4bb05-334d-ea11-a812-000d3a86a8cf,Westblake Pty Ltd t/as it's insured,Westblake Pty Ltd t/as it's insured,null,null,null,null,null,null,null,null,Westblake Pty Ltd t/as it's insured,Westblake Pty Ltd t/as it's insured,tremayne.west@itsinsured.com.au,tremayne.west@itsinsured.com.au,null,null,null,null,111658,111658,NSW 2022,NSW 2022,Level 23,Level 23,520 Oxford Road,520 Oxford Road,null,null,Bondi Junction,Bondi Junction,null,null,AUSTRALIA,AUSTRALIA,null,null,Test case passed
69497,1281,1281,7059,7059,111257,111257,F8D4BB05-334D-EA11-A812-000D3A86A8CF,f8d4bb05-334d-ea11-a812-000d3a86a8cf,Westblake Pty Ltd t/as it's insured,Westblake Pty Ltd t/as it's insured,null,null,null,null,null,null,null,null,Westblake Pty Ltd t/as it's insured,Westblake Pty Ltd t/as it's insured,tremayne.west@itsinsured.com.au,tremayne.west@itsinsured.com.au,null,null,null,null,111658,111658,NSW 2022,NSW 2022,Level 23,Level 23,520 Oxford Road,520 Oxford Road,null,null,Bondi Junction,Bondi Junction,null,null,AUSTRALIA,AUSTRALIA,null,null,Test case passed
66394,1280,1280,7058,7058,111209,111209,9AECC559-ED4B-EA11-A812-000D3A86AD30,9aecc559-ed4b-ea11-a812-000d3a86ad30,ATL Marine & Energy Ltd,ATL Marine & Energy Ltd,null,null,null,null,null,null,null,null,ATL Marine & Energy Ltd,ATL Marine & Energy Ltd,null,null,02035951115,02035951115,null,null,111610,111610,145 Leadenhall Street,145 Leadenhall Street,145 Leadenhall Street,145 Leadenhall Street,null,null,null,null,London,London,null,null,UNITED KINGDOM,UNITED KINGDOM,EC3V 4QT,EC3V 4QT,Test case passed
67034,1279,1279,7056,7056,111072,111072,0B1BF06B-8949-EA11-A812-000D3A86AD30,0b1bf06b-8949-ea11-a812-000d3a86ad30,Prudent Insurance Brokers Pvt. Ltd,Prudent Insurance Brokers Pvt. Ltd,null,null,null,null,null,null,null,null,Prudent Insurance Brokers Pvt. Ltd,Prudent Insurance Brokers Pvt. Ltd,bansi.suvarna@prudentbrokers.com,bansi.suvarna@prudentbrokers.com,+91 22 33066000,+91 22 33066000,null,null,111473,111473,Prudent Insurance Brokers Pvt. Ltd,Prudent Insurance Brokers Pvt. Ltd,101  Tower B  Peninsula Business Park,101  Tower B  Peninsula Business Park,Ganpatrao Kadam Marg,Ganpatrao Kadam Marg,Lower Parel,Lower Parel,W  Mumbai,W  Mumbai,null,null,INDIA,INDIA,400013,400013,Test case passed
