SQL_Broker_Id,API_Broker_Id,SQL_BrokerReference,API_BrokerReference,SQL_Party_Id,API_Party_Id,SQL_CrmIdentifier,API_CrmIdentifier,SQL_OrganisationName,API_OrganisationName,SQL_Salutation,API_Salutation,SQL_FirstName,API_FirstName,SQL_MiddleName,API_MiddleName,SQL_LastName,API_LastName,SQL_SearchName,API_SearchName,SQL_EmailAddress,API_EmailAddress,SQL_Telephone,API_Telephone,SQL_Fax,API_Fax,SQL_Address_Id,API_Address_Id,SQL_AddressName,API_AddressName,SQL_Line1,API_Line1,SQL_Line2,API_Line2,SQL_Line3,API_Line3,SQL_City,API_City,SQL_StateOrProvince,API_StateOrProvince,SQL_Country,API_Country,SQL_Postcode,API_Postcode,Test Case Status
1277,1277,7054,7054,110696,110696,DB06EB98-9246-EA11-A812-000D3A86A8CF,db06eb98-9246-ea11-a812-000d3a86a8cf,Regent Marine Assekuranzmakler GmbH,Regent Marine Assekuranzmakler GmbH,null,null,null,null,null,null,null,null,Regent Marine Assekuranzmakler GmbH,Regent Marine Assekuranzmakler GmbH,Monika.Brockmann@regent-marine.de,Monika.Brockmann@regent-marine.de,+4942152571112,+4942152571112,null,null,111097,111097,Flughafenallee 28,Flughafenallee 28,null,null,null,null,null,null,Bremen,Bremen,null,null,GERMANY,GERMANY,28199,28199,Test Case Passed
1276,1276,7053,7053,110559,110559,07F54D73-4F43-EA11-A812-000D3A86A8CF,07f54d73-4f43-ea11-a812-000d3a86a8cf,La Positiva Seguros y Reaseguros,La Positiva Seguros y Reaseguros,null,null,null,null,null,null,null,null,La Positiva Seguros y Reaseguros,La Positiva Seguros y Reaseguros,null,null,+5112110000,+5112110000,null,null,110960,110960,Francisco Masias No 370 San Isidro,Francisco Masias No 370 San Isidro,null,null,null,null,null,null,Lima 27,Lima 27,null,null,PERU,PERU,null,null,Test Case Passed
1274,1274,7051,7051,110159,110159,D3664AA3-0C39-EA11-A813-000D3A86AD30,d3664aa3-0c39-ea11-a813-000d3a86ad30,RAMON INTERNATIONAL INSURANCE BROKERS LIMITED,RAMON INTERNATIONAL INSURANCE BROKERS LIMITED,null,null,null,null,null,null,null,null,RAMON INTERNATIONAL INSURANCE BROKERS LIMITED,RAMON INTERNATIONAL INSURANCE BROKERS LIMITED,general@ramon.co.uk,general@ramon.co.uk,02073695300,02073695300,02073695301,02073695301,110559,110559,24 Creechurch Lane,24 Creechurch Lane,24 CREECHURCH LANE,24 CREECHURCH LANE,null,null,null,null,LONDON,LONDON,null,null,UNITED KINGDOM,UNITED KINGDOM,EC3A 5EH,EC3A 5EH,Test Case Passed
1275,1275,7050,7050,110161,110161,36CC4163-3238-EA11-A813-000D3A86A8CF,36cc4163-3238-ea11-a813-000d3a86a8cf,Paul Donnelly Insurance Brokers Pty Ltd,Paul Donnelly Insurance Brokers Pty Ltd,null,null,null,null,null,null,null,null,Paul Donnelly Insurance Brokers Pty Ltd,Paul Donnelly Insurance Brokers Pty Ltd,null,null,+61294827422,+61294827422,+61294827462,+61294827462,110561,110561,PO Box 97,PO Box 97,Berowra,Berowra,null,null,null,null,NSW 2081,NSW 2081,null,null,AUSTRALIA,AUSTRALIA,null,null,Test Case Passed
1273,1273,7049,7049,110022,110022,3DFA8E46-AF32-EA11-A813-000D3A86AD30,3dfa8e46-af32-ea11-a813-000d3a86ad30,Aster Underwriting Pty Ltd,Aster Underwriting Pty Ltd,null,null,null,null,null,null,null,null,Aster Underwriting Pty Ltd,Aster Underwriting Pty Ltd,null,null,null,null,null,null,110421,110421,Level 4,Level 4,Cnr Clifford & Appel Streets,Cnr Clifford & Appel Streets,Surfers Paradise,Surfers Paradise,null,null,QLD,QLD,null,null,AUSTRALIA,AUSTRALIA,4217,4217,Test Case Passed
1270,1270,7048,7048,109870,109870,642DE597-2032-EA11-A810-000D3A86AD30,642de597-2032-ea11-a810-000d3a86ad30,Ocean Cruising Corporation SA,Ocean Cruising Corporation SA,null,null,null,null,null,null,null,null,Ocean Cruising Corporation SA,Ocean Cruising Corporation SA,gkh@andriaki.gr,gkh@andriaki.gr,0030-210-6152441,0030-210-6152441,null,null,110267,110267,9 FRAGOKLISSIAS STR.,9 FRAGOKLISSIAS STR.,151 25 MAROUSSI,151 25 MAROUSSI,ATTICA,ATTICA,null,null,ATHENS,ATHENS,null,null,GREECE,GREECE,null,null,Test Case Passed
1272,1272,7047,7047,110019,110019,B4C526C5-1132-EA11-A810-000D3A86AD30,b4c526c5-1132-ea11-a810-000d3a86ad30,Orloff Yachting Limited,Orloff Yachting Limited,null,null,null,null,null,null,null,null,Orloff Yachting Limited,Orloff Yachting Limited,gkh@andriaki.gr,gkh@andriaki.gr,0030-210-6152441,0030-210-6152441,null,null,110418,110418,9 FRAGOKLISSIAS STR,9 FRAGOKLISSIAS STR,151 25 MAROUSSI,151 25 MAROUSSI,ATTICA,ATTICA,null,null,ATHENS,ATHENS,null,null,GREECE,GREECE,null,null,Test Case Passed
1271,1271,7046,7046,109873,109873,298BB817-0F32-EA11-A810-000D3A86AD30,298bb817-0f32-ea11-a810-000d3a86ad30,Doris Nepa,Doris Nepa,null,null,Doris,Doris,null,null,Nepa,Nepa,Doris Nepa,Doris Nepa,gkh@andriaki.gr,gkh@andriaki.gr,00302106152441,00302106152441,null,null,110270,110270,9 FRAGOKLISSIAS STR,9 FRAGOKLISSIAS STR,151 25 MAROUSSI,151 25 MAROUSSI,ATTICA,ATTICA,null,null,ATHENS,ATHENS,GREECE,GREECE,GREECE,GREECE,null,null,Test Case Passed
1269,1269,7045,7045,109720,109720,84063CF2-642D-EA11-A810-000D3A86AD30,84063cf2-642d-ea11-a810-000d3a86ad30,Sarl Valantin Berger,Sarl Valantin Berger,null,null,null,null,null,null,null,null,Sarl Valantin Berger,Sarl Valantin Berger,null,null,null,null,null,null,110116,110116,4 rue Etienne Dolet,4 rue Etienne Dolet,null,null,null,null,null,null,Tarare,Tarare,null,null,FRANCE,FRANCE,69170,69170,Test Case Passed
1268,1268,7044,7044,109494,109494,AF1C5F4E-7C21-EA11-A810-000D3A86A8CF,af1c5f4e-7c21-ea11-a810-000d3a86a8cf,Fairfirst Insurance Limited,Fairfirst Insurance Limited,null,null,null,null,null,null,null,null,Fairfirst Insurance Limited,Fairfirst Insurance Limited,null,null,null,null,null,null,109890,109890,Fairfirst Insurance Limited,Fairfirst Insurance Limited,Access Towers II (14th Floor),Access Towers II (14th Floor),278/4,278/4,Union Place,Union Place,Colombo 02,Colombo 02,null,null,SRI LANKA,SRI LANKA,null,null,Test Case Passed
1267,1267,7043,7043,109402,109402,6EFA2610-D81C-EA11-A811-000D3A86AD30,6efa2610-d81c-ea11-a811-000d3a86ad30,MICHAEL KENT,MICHAEL KENT,null,null,MICHAEL,MICHAEL,null,null,KENT,KENT,MICHAEL KENT,MICHAEL KENT,michaelkent@egginternationl.com,michaelkent@egginternationl.com,0037797975206,0037797975206,null,null,109798,109798,AO52 LE MEMMO CENTER,AO52 LE MEMMO CENTER,null,null,4 AVENUE DES GUELFES,4 AVENUE DES GUELFES,null,null,MONACO,MONACO,null,null,MONACO,MONACO,MC9800,MC9800,Test Case Passed
1266,1266,7042,7042,109082,109082,8B663006-8016-EA11-A811-000D3A86A8CF,8b663006-8016-ea11-a811-000d3a86a8cf,Triple "A" Marine Risks Ltd,Triple "A" Marine Risks Ltd,null,null,null,null,null,null,null,null,Triple "A" Marine Risks Ltd,Triple "A" Marine Risks Ltd,null,null,null,null,null,null,109477,109477,4 Kifissias Avenue,4 Kifissias Avenue,151 25 Maroussi,151 25 Maroussi,null,null,null,null,Athens,Athens,null,null,GREECE,GREECE,null,null,Test Case Passed
1264,1264,7041,7041,109045,109045,82DC8FD4-DF15-EA11-A811-000D3A86AD30,82dc8fd4-df15-ea11-a811-000d3a86ad30,Ilya Sonyushkin,Ilya Sonyushkin,Mr.,Mr.,Ilya,Ilya,null,null,Sonyushkin,Sonyushkin,Ilya Sonyushkin,Ilya Sonyushkin,isonyushkin@gmail.com,isonyushkin@gmail.com,+79166534310,+79166534310,null,null,109440,109440,Kutuzovskiy Avenue 26-495,Kutuzovskiy Avenue 26-495,null,null,null,null,null,null,Moscow,Moscow,null,null,RUSSIAN FEDERATION,RUSSIAN FEDERATION,121165,121165,Test Case Passed
1265,1265,7040,7040,109055,109055,2BCC322C-7215-EA11-A811-000D3A86A8CF,2bcc322c-7215-ea11-a811-000d3a86a8cf,Insurance Aid General Brokers Partnership Pty Ltd,Insurance Aid General Brokers Partnership Pty Ltd,null,null,null,null,null,null,null,null,Insurance Aid General Brokers Partnership Pty Ltd,Insurance Aid General Brokers Partnership Pty Ltd,andrewh@insuranceaid.com.au,andrewh@insuranceaid.com.au,0736301823,0736301823,null,null,109450,109450,9/35 Paringa Road,9/35 Paringa Road,null,null,null,null,null,null,Murarrie Q,Murarrie Q,null,null,AUSTRALIA,AUSTRALIA,4172,4172,Test Case Passed
1263,1263,7039,7039,108940,108940,0BC45595-440D-EA11-A811-000D3A86A8CF,0bc45595-440d-ea11-a811-000d3a86a8cf,Henderson International B.V.,Henderson International B.V.,null,null,null,null,null,null,null,null,Henderson International B.V.,Henderson International B.V.,null,null,null,null,null,null,109335,109335,Welfare Road #129,Welfare Road #129,Laguna View,Laguna View,Suite 2A,Suite 2A,null,null,Cole Bay,Cole Bay,null,null,SINT MAARTEN,SINT MAARTEN,null,null,Test Case Passed
1262,1262,7038,7038,108769,108769,D18C851E-B30B-EA11-A811-000D3A86AA92,d18c851e-b30b-ea11-a811-000d3a86aa92,APEX International Insurance Mediations LLC,APEX International Insurance Mediations LLC,null,null,null,null,null,null,null,null,APEX International Insurance Mediations LLC,APEX International Insurance Mediations LLC,null,null,null,null,null,null,109164,109164,ABDULLA BIN DARWISH BLDG. SHK. ZAYED ST. PO BOX 35764 ABU DHABI - UAE,ABDULLA BIN DARWISH BLDG. SHK. ZAYED ST. PO BOX 35764 ABU DHABI - UAE,null,null,null,null,null,null,Abu Dhabi,Abu Dhabi,null,null,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,null,null,Test Case Passed
1261,1261,7037,7037,108687,108687,4F33D109-2106-EA11-A811-000D3A86AC4E,4f33d109-2106-ea11-a811-000d3a86ac4e,OP DE BEECK & WORTH CORREDURIA DE SEGUROS SL,OP DE BEECK & WORTH CORREDURIA DE SEGUROS SL,null,null,null,null,null,null,null,null,OP DE BEECK & WORTH CORREDURIA DE SEGUROS SL,OP DE BEECK & WORTH CORREDURIA DE SEGUROS SL,DANNI@OPDEBEECK-WORTH.COM,DANNI@OPDEBEECK-WORTH.COM,+34 952 88 22 73,+34 952 88 22 73,null,null,109082,109082,CENTRO COMERCIAL GUADALMINA IV LOCALES 97-98 29670 SAN PEDRO DE ALCANTARA,CENTRO COMERCIAL GUADALMINA IV LOCALES 97-98 29670 SAN PEDRO DE ALCANTARA,null,null,null,null,null,null,MARBELLA,MARBELLA,null,null,SPAIN,SPAIN,null,null,Test Case Passed
1259,1259,7036,7036,108136,108136,97973B87-33FB-E911-A813-000D3A86AD30,97973b87-33fb-e911-a813-000d3a86ad30,HP INTERNATIONAL (HELLAS) CORP,HP INTERNATIONAL (HELLAS) CORP,null,null,null,null,null,null,null,null,HP INTERNATIONAL (HELLAS) CORP,HP INTERNATIONAL (HELLAS) CORP,hp@hpintel.com,hp@hpintel.com,+30-210-4296880,+30-210-4296880,+30-210-4296885,+30-210-4296885,108523,108523,Afroditis 24 - Piraeus,Afroditis 24 - Piraeus,null,null,null,null,null,null,Piraeus,Piraeus,null,null,GREECE,GREECE,null,null,Test Case Passed
1260,1260,7035,7035,108147,108147,773B75B5-2AFB-E911-A813-000D3A86AA92,773b75b5-2afb-e911-a813-000d3a86aa92,WG Yachts,WG Yachts,null,null,null,null,null,null,null,null,WG Yachts,WG Yachts,richard@wgyachts.com,richard@wgyachts.com,01737 552885,01737 552885,null,null,108534,108534,9 Stagbury Close Chipstead Coulsdon Surrey CR5 3PH,9 Stagbury Close Chipstead Coulsdon Surrey CR5 3PH,null,null,null,null,null,null,Coulsdon,Coulsdon,null,null,UNITED KINGDOM,UNITED KINGDOM,null,null,Test Case Passed
1258,1258,7033,7033,108042,108042,D4CC7968-E8F7-E911-A813-000D3A86A3F8,d4cc7968-e8f7-e911-a813-000d3a86a3f8,test1,test1,null,null,null,null,null,null,null,null,test1,test1,null,null,null,null,null,null,108428,108428,test1address,test1address,null,null,null,null,null,null,Birmingham,Birmingham,null,null,UNITED KINGDOM,UNITED KINGDOM,null,null,Test Case Passed
1257,1257,6244,6244,108019,108019,763BEEBB-13F7-E911-A813-000D3A86AD30,763beebb-13f7-e911-a813-000d3a86ad30,MCGILL AND PARTNERS LTD,MCGILL AND PARTNERS LTD,,,null,null,null,null,null,null,MCGILL AND PARTNERS LTD,MCGILL AND PARTNERS LTD,info@mcgillpartners.com,info@mcgillpartners.com,020 3985 1803,020 3985 1803,,,108405,108405,Suite 806 Lloyd's,Suite 806 Lloyd's,1 Lime Street,1 Lime Street,,,,,London,London,,,UNITED KINGDOM,UNITED KINGDOM,EC3M 7HA,EC3M 7HA,Test Case Passed
1256,1256,6243,6243,107795,107795,C2B61812-EAF0-E911-A812-000D3A86AA92,c2b61812-eaf0-e911-a812-000d3a86aa92,EVMAR MARINE SERVICES LTD,EVMAR MARINE SERVICES LTD,,,null,null,null,null,null,null,EVMAR MARINE SERVICES LTD,EVMAR MARINE SERVICES LTD,marine@evmar.gr,marine@evmar.gr,00302104284900,00302104284900,00302104284977,00302104284977,108171,108171,2 DEFTERAS MERARCHIAS STR,2 DEFTERAS MERARCHIAS STR,,,,,,,PIRAEUS,PIRAEUS,,,GREECE,GREECE,18535,18535,Test Case Passed
1255,1255,6242,6242,107783,107783,D3754FA7-C3F0-E911-A812-000D3A86A3F8,d3754fa7-c3f0-e911-a812-000d3a86a3f8,PT Dritama Brokerindo,PT Dritama Brokerindo,,,null,null,null,null,null,null,PT Dritama Brokerindo,PT Dritama Brokerindo,Henry.wong@dritama.co.id,Henry.wong@dritama.co.id,62-21-4701272/73,62-21-4701272/73,62-21-4701262,62-21-4701262,108159,108159,Kompleks Perkantoran Puloma Blok XI No. 2,Kompleks Perkantoran Puloma Blok XI No. 2,Jalan Perintis Kemerdekaan,Jalan Perintis Kemerdekaan,,,,,Jakarta Timur,Jakarta Timur,,,INDONESIA,INDONESIA,13260,13260,Test Case Passed
1253,1253,6241,6241,107719,107719,988034F2-28EF-E911-A812-000D3A86A945,988034f2-28ef-e911-a812-000d3a86a945,Risk Broking Pty Ltd,Risk Broking Pty Ltd,,,null,null,null,null,null,null,Risk Broking Pty Ltd,Risk Broking Pty Ltd,info@riskbroking.com.au,info@riskbroking.com.au,(08)82322311,(08)82322311,,,108090,108090,Level 2/86 Pirie Street,Level 2/86 Pirie Street,,,,,,,Adelaide,Adelaide,South Australia,South Australia,AUSTRALIA,AUSTRALIA,,,Test Case Passed
1254,1254,6240,6240,107775,107775,4DAD3C2A-27F0-E911-A812-000D3A86AD30,4dad3c2a-27f0-e911-a812-000d3a86ad30,VANGMAR INSCE BROKERS LTD,VANGMAR INSCE BROKERS LTD,,,null,null,null,null,null,null,VANGMAR INSCE BROKERS LTD,VANGMAR INSCE BROKERS LTD,INFO@VANGMAR.COM,INFO@VANGMAR.COM,+302104292020,+302104292020,+302104292224,+302104292224,108149,108149,9 FILELLINON STREET,9 FILELLINON STREET,,,,,,,PIRAEUS,PIRAEUS,,,GREECE,GREECE,18536,18536,Test Case Passed
1252,1252,6239,6239,107562,107562,D937A2C9-A3E9-E911-A812-000D3A86A3F8,d937a2c9-a3e9-e911-a812-000d3a86a3f8,Austbrokers BGA,Austbrokers BGA,,,null,null,null,null,null,null,Austbrokers BGA,Austbrokers BGA,brokers@bgabrokers.com.au,brokers@bgabrokers.com.au,0362781526,0362781526,0362286959,0362286959,107925,107925,PO Box 276,PO Box 276,Moonah,Moonah,,,,,Tasmania,Tasmania,,,AUSTRALIA,AUSTRALIA,7009,7009,Test Case Passed
1250,1250,6237,6237,107288,107288,B1225FFC-3DE0-E911-A813-000D3A86A945,b1225ffc-3de0-e911-a813-000d3a86a945,Schill Insurance Brokers,Schill Insurance Brokers,,,null,null,null,null,null,null,Schill Insurance Brokers,Schill Insurance Brokers,kschill@schillinsurance.com,kschill@schillinsurance.com,6045854445,6045854445,6045851985,6045851985,107636,107636,Schill Insurance Brokers Ltd,Schill Insurance Brokers Ltd,302-15127 100 Avenue,302-15127 100 Avenue,,,,,Surrey,Surrey,British Columbia,British Columbia,CANADA,CANADA,BC V3F 0NG,BC V3F 0NG,Test Case Passed
1249,1249,6236,6236,107243,107243,DCB3D1D4-E2DE-E911-A813-000D3A86AD30,dcb3d1d4-e2de-e911-a813-000d3a86ad30,Insurnet SL Correduria de Seguros,Insurnet SL Correduria de Seguros,,,null,null,null,null,null,null,Insurnet SL Correduria de Seguros,Insurnet SL Correduria de Seguros,rafalacasa@insurnet.es,rafalacasa@insurnet.es,+34696522650,+34696522650,,,107591,107591,Via Sindicato 69 - 7 1,Via Sindicato 69 - 7 1,,,,,,,Palma de Mallorca,Palma de Mallorca,,,SPAIN,SPAIN,07002,07002,Test Case Passed
1251,1251,6235,6235,107430,107430,0E35C6FD-14E5-E911-A813-000D3A86A3F8,0e35c6fd-14e5-e911-a813-000d3a86a3f8,Forsyth and Nash Insurance Brokers,Forsyth and Nash Insurance Brokers,,,null,null,null,null,null,null,Forsyth and Nash Insurance Brokers,Forsyth and Nash Insurance Brokers,,,,,,,107782,107782,Post Net Suite 172,Post Net Suite 172,Private Box X16,Private Box X16,,,,,Constantia,Constantia,,,SOUTH AFRICA,SOUTH AFRICA,7848,7848,Test Case Passed
1248,1248,6234,6234,107222,107222,E493AA3A-B6DE-E911-A813-000D3A86AC4E,e493aa3a-b6de-e911-a813-000d3a86ac4e,Griffiths & Armour Global Risks Limited,Griffiths & Armour Global Risks Limited,,,null,null,null,null,null,null,Griffiths & Armour Global Risks Limited,Griffiths & Armour Global Risks Limited,sswainbank@griffithsandarmour.com,sswainbank@griffithsandarmour.com,02070901106,02070901106,,,107570,107570,One America Square,One America Square,17 Crosswall,17 Crosswall,,,,,London,London,,,UNITED KINGDOM,UNITED KINGDOM,EC3N 2AD,EC3N 2AD,Test Case Passed
1247,1247,6233,6233,107182,107182,5A6E4A66-E4DD-E911-A813-000D3A86A8CF,5a6e4a66-e4dd-e911-a813-000d3a86a8cf,Austbrokers City State Pty Ltd,Austbrokers City State Pty Ltd,,,null,null,null,null,null,null,Austbrokers City State Pty Ltd,Austbrokers City State Pty Ltd,Info@abcitystate.com.au,Info@abcitystate.com.au,02 4297 1800,02 4297 1800,02 4297 1400,02 4297 1400,107520,107520,PO Box 870,PO Box 870,,,,,,,Wollongong NSW,Wollongong NSW,,,AUSTRALIA,AUSTRALIA,2520,2520,Test Case Passed
1246,1246,6232,6232,107020,107020,4BC0BD6D-85D8-E911-A814-000D3A86AA92,4bc0bd6d-85d8-e911-a814-000d3a86aa92,Siaci Saint Honore,Siaci Saint Honore,,,null,null,null,null,null,null,Siaci Saint Honore,Siaci Saint Honore,alain.folliot@cap-marine.com,alain.folliot@cap-marine.com,,,,,107356,107356,Espace Leader rue Gustave Eiffel,Espace Leader rue Gustave Eiffel,,,,,,,76235 Bois-Guillaume,76235 Bois-Guillaume,,,FRANCE,FRANCE,,,Test Case Passed
1245,1245,6231,6231,107018,107018,782C99D9-84D8-E911-A813-000D3A86A945,782c99d9-84d8-e911-a813-000d3a86a945,Siaci Saint Honore,Siaci Saint Honore,,,null,null,null,null,null,null,Siaci Saint Honore,Siaci Saint Honore,nicolas.roux@cap-marine.com,nicolas.roux@cap-marine.com,,,,,107354,107354,Season 39 rue Mstislav Rostropovitch,Season 39 rue Mstislav Rostropovitch,,,,,,,75815 Paris Cedex 17,75815 Paris Cedex 17,,,FRANCE,FRANCE,,,Test Case Passed
1244,1244,6230,6230,107016,107016,DD79F8AD-84D8-E911-A813-000D3A86AD30,dd79f8ad-84d8-e911-a813-000d3a86ad30,Siaci Saint Honore,Siaci Saint Honore,,,null,null,null,null,null,null,Siaci Saint Honore,Siaci Saint Honore,nicolas.loyer@cap-marine.com,nicolas.loyer@cap-marine.com,,,,,107352,107352,6 Rue Rene Viviani,6 Rue Rene Viviani,,,,,,,44200 Nantes,44200 Nantes,,,FRANCE,FRANCE,,,Test Case Passed
