SQL_CountryId,API_CountryId,SQL_CountryShortCode,API_CountryShortCode,SQL_CountryName,API_CountryName,SQL_CountryDescription,API_CountryDescription,SQL_CountryIptTaxMap,API_CountryIptTaxMap,Status
15,15,AUS,AUSAUSTRALIA,AUSTRALIA,AUSTRALIA,AUSTRALIATAX99,TAX99,Test case passed
16,16,AUT,AUTAUSTRIA,AUSTRIA,AUSTRIA,AUSTRIAIPTAT,IPTAT,Test case passed
17,17,AZE,AZEAZERBAIJAN  REPUBLIC OF,AZERBAIJAN  REPUBLIC OF,AZERBAIJAN  REPUBLIC OF,AZERBAIJAN  REPUBLIC OFTAX99,TAX99,Test case passed
18,18,AZO,AZOAZORES,AZORES,AZORES,AZORESTAX99,TAX99,Test case passed
19,19,BHS,BHSBAHAMAS,BAHAMAS,BAHAMAS,BAHAMASTAX99,TAX99,Test case passed
20,20,BHR,BHRBAHRAIN  STATE OF,BAHRAIN  STATE OF,BAHRAIN  STATE OF,BAHRAIN  STATE OFTAX99,TAX99,Test case passed
21,21,BLI,BLIBALI,BALI,BALI,BALITAX99,TAX99,Test case passed
22,22,BAN,BANBANGKOK,BANGKOK,BANGKOK,BANGKOKTAX99,TAX99,Test case passed
23,23,BGD,BGDBANGLADESH,BANGLADESH,BANGLADESH,BANGLADESHTAX99,TAX99,Test case passed
24,24,BRB,BRBBARBADOS,BARBADOS,BARBADOS,BARBADOSTAX99,TAX99,Test case passed
25,25,BLR,BLRBELARUS,BELARUS,BELARUS,BELARUSTAX99,TAX99,Test case passed
26,26,BEL,BELBELGIUM,BELGIUM,BELGIUM,BELGIUMIPTBE,IPTBE,Test case passed
27,27,BLZ,BLZBELIZE,BELIZE,BELIZE,BELIZETAX99,TAX99,Test case passed
28,28,BEN,BENBENIN  REPUBLIC OF,BENIN  REPUBLIC OF,BENIN  REPUBLIC OF,BENIN  REPUBLIC OFTAX99,TAX99,Test case passed
29,29,BMU,BMUBERMUDA,BERMUDA,BERMUDA,BERMUDATAX99,TAX99,Test case passed
30,30,BTN,BTNBHUTAN,BHUTAN,BHUTAN,BHUTANTAX99,TAX99,Test case passed
31,31,BOL,BOLBOLIVIA,BOLIVIA,BOLIVIA,BOLIVIATAX99,TAX99,Test case passed
32,32,BIH,BIHBOSNIA HERCEGOVINA,BOSNIA HERCEGOVINA,BOSNIA HERCEGOVINA,BOSNIA HERCEGOVINATAX99,TAX99,Test case passed
33,33,BWA,BWABOTSWANA,BOTSWANA,BOTSWANA,BOTSWANATAX99,TAX99,Test case passed
34,34,BVT,BVTBOUVET ISLAND,BOUVET ISLAND,BOUVET ISLAND,BOUVET ISLANDTAX99,TAX99,Test case passed
35,35,BRA,BRABRAZIL,BRAZIL,BRAZIL,BRAZILTAX99,TAX99,Test case passed
36,36,IOT,IOTBRITISH INDIAN OCEAN TERRITORY,BRITISH INDIAN OCEAN TERRITORY,BRITISH INDIAN OCEAN TERRITORY,BRITISH INDIAN OCEAN TERRITORYTAX99,TAX99,Test case passed
37,37,VGB,VGBBRITISH VIRGIN ISLANDS,BRITISH VIRGIN ISLANDS,BRITISH VIRGIN ISLANDS,BRITISH VIRGIN ISLANDSTAX99,TAX99,Test case passed
38,38,BRN,BRNBRUNEI  SULTANATE OF,BRUNEI  SULTANATE OF,BRUNEI  SULTANATE OF,BRUNEI  SULTANATE OFTAX99,TAX99,Test case passed
39,39,BGR,BGRBULGARIA,BULGARIA,BULGARIA,BULGARIAIPTBG,IPTBG,Test case passed
40,40,BFA,BFABURKINA FASO,BURKINA FASO,BURKINA FASO,BURKINA FASOTAX99,TAX99,Test case passed
41,41,BDI,BDIBURUNDI,BURUNDI,BURUNDI,BURUNDITAX99,TAX99,Test case passed
42,42,KHM,KHMCAMBODIA,CAMBODIA,CAMBODIA,CAMBODIATAX99,TAX99,Test case passed
43,43,CMR,CMRCAMEROON,CAMEROON,CAMEROON,CAMEROONTAX99,TAX99,Test case passed
44,44,CAN,CANCANADA,CANADA,CANADA,CANADATAX99,TAX99,Test case passed
45,45,CIS,CISCANARY ISLANDS,CANARY ISLANDS,CANARY ISLANDS,CANARY ISLANDSTAX99,TAX99,Test case passed
46,46,CPV,CPVCAPE VERDE  REPUBLIC OF,CAPE VERDE  REPUBLIC OF,CAPE VERDE  REPUBLIC OF,CAPE VERDE  REPUBLIC OFTAX99,TAX99,Test case passed
47,47,CYM,CYMCAYMAN ISLANDS,CAYMAN ISLANDS,CAYMAN ISLANDS,CAYMAN ISLANDSTAX99,TAX99,Test case passed
48,48,CAF,CAFCENTRAL AFRICAN REPUBLIC,CENTRAL AFRICAN REPUBLIC,CENTRAL AFRICAN REPUBLIC,CENTRAL AFRICAN REPUBLICTAX99,TAX99,Test case passed
49,49,TCH,TCHCHAD,CHAD,CHAD,CHADTAX99,TAX99,Test case passed
50,50,CHL,CHLCHILE,CHILE,CHILE,CHILETAX99,TAX99,Test case passed
51,51,CHN,CHNCHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OFTAX99,TAX99,Test case passed
52,52,CXR,CXRCHRISTMAS ISLAND,CHRISTMAS ISLAND,CHRISTMAS ISLAND,CHRISTMAS ISLANDTAX99,TAX99,Test case passed
53,53,CCK,CCKCOCOS (KEELING) ISLANDS,COCOS (KEELING) ISLANDS,COCOS (KEELING) ISLANDS,COCOS (KEELING) ISLANDSTAX99,TAX99,Test case passed
54,54,COL,COLCOLOMBIA,COLOMBIA,COLOMBIA,COLOMBIATAX99,TAX99,Test case passed
55,55,COM,COMCOMOROS,COMOROS,COMOROS,COMOROSTAX99,TAX99,Test case passed
56,56,COG,COGCONGO  REPUBLIC OF THE,CONGO  REPUBLIC OF THE,CONGO  REPUBLIC OF THE,CONGO  REPUBLIC OF THETAX99,TAX99,Test case passed
57,57,COK,COKCOOK ISLANDS,COOK ISLANDS,COOK ISLANDS,COOK ISLANDSTAX99,TAX99,Test case passed
58,58,CRI,CRICOSTA RICA,COSTA RICA,COSTA RICA,COSTA RICATAX99,TAX99,Test case passed
59,59,HRV,HRVCROATIA  REPUBLIC OF,CROATIA  REPUBLIC OF,CROATIA  REPUBLIC OF,CROATIA  REPUBLIC OFTAX99,TAX99,Test case passed
60,60,CUB,CUBCUBA,CUBA,CUBA,CUBATAX99,TAX99,Test case passed
62,62,CUW,CUWCURACAO,CURACAO,CURACAO,CURACAOTAX99,TAX99,Test case passed
63,63,CYP,CYPCYPRUS,CYPRUS,CYPRUS,CYPRUSIPTCT,IPTCT,Test case passed
64,64,CZE,CZECZECH REPUBLIC,CZECH REPUBLIC,CZECH REPUBLIC,CZECH REPUBLICIPTCZ,IPTCZ,Test case passed
65,65,DIS,DISDANISH INTERNATIONAL REGISTER,DANISH INTERNATIONAL REGISTER,DANISH INTERNATIONAL REGISTER,DANISH INTERNATIONAL REGISTERTAX99,TAX99,Test case passed
66,66,DNK,DNKDENMARK,DENMARK,DENMARK,DENMARKIPTDK,IPTDK,Test case passed
67,67,DJI,DJIDJIBOUTI  REPUBLIC OF,DJIBOUTI  REPUBLIC OF,DJIBOUTI  REPUBLIC OF,DJIBOUTI  REPUBLIC OFTAX99,TAX99,Test case passed
68,68,DMA,DMADOMINICA,DOMINICA,DOMINICA,DOMINICATAX99,TAX99,Test case passed
69,69,DOM,DOMDOMINICAN REPUBLIC,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,DOMINICAN REPUBLICTAX99,TAX99,Test case passed
70,70,DUB,DUBDUBAI,DUBAI,DUBAI,DUBAITAX99,TAX99,Test case passed
71,71,TMP,TMPEAST TIMOR,EAST TIMOR,EAST TIMOR,EAST TIMORTAX99,TAX99,Test case passed
72,72,ECU,ECUECUADOR,ECUADOR,ECUADOR,ECUADORTAX99,TAX99,Test case passed
73,73,EGY,EGYEGYPT  ARAB REPUBLIC OF,EGYPT  ARAB REPUBLIC OF,EGYPT  ARAB REPUBLIC OF,EGYPT  ARAB REPUBLIC OFTAX99,TAX99,Test case passed
74,74,SLV,SLVEL SALVADOR,EL SALVADOR,EL SALVADOR,EL SALVADORTAX99,TAX99,Test case passed
75,75,GNQ,GNQEQUATORIAL GUINEA,EQUATORIAL GUINEA,EQUATORIAL GUINEA,EQUATORIAL GUINEATAX99,TAX99,Test case passed
76,76,ERI,ERIERITREA,ERITREA,ERITREA,ERITREATAX99,TAX99,Test case passed
77,77,EST,ESTESTONIA  REPUBLIC OF,ESTONIA  REPUBLIC OF,ESTONIA  REPUBLIC OF,ESTONIA  REPUBLIC OFIPTEE,IPTEE,Test case passed
78,78,ETH,ETHETHIOPIA,ETHIOPIA,ETHIOPIA,ETHIOPIATAX99,TAX99,Test case passed
79,79,FLK,FLKFALKLAND ISLANDS,FALKLAND ISLANDS,FALKLAND ISLANDS,FALKLAND ISLANDSTAX99,TAX99,Test case passed
80,80,FRO,FROFAROE ISLANDS,FAROE ISLANDS,FAROE ISLANDS,FAROE ISLANDSTAX99,TAX99,Test case passed
81,81,FJI,FJIFIJI,FIJI,FIJI,FIJITAX99,TAX99,Test case passed
82,82,FIN,FINFINLAND,FINLAND,FINLAND,FINLANDIPTFI,IPTFI,Test case passed
83,83,FRA,FRAFRANCE,FRANCE,FRANCE,FRANCEIPTFR,IPTFR,Test case passed
84,84,RIF,RIFFRANCE (RIF),FRANCE (RIF),FRANCE (RIF),FRANCE (RIF)TAX99,TAX99,Test case passed
85,85,GUF,GUFFRENCH GUIANA,FRENCH GUIANA,FRENCH GUIANA,FRENCH GUIANATAX99,TAX99,Test case passed
86,86,ATF,ATFFRENCH SOUTHERN TERRITORIES,FRENCH SOUTHERN TERRITORIES,FRENCH SOUTHERN TERRITORIES,FRENCH SOUTHERN TERRITORIESTAX99,TAX99,Test case passed
87,87,GAB,GABGABON,GABON,GABON,GABONTAX99,TAX99,Test case passed
88,88,GMB,GMBGAMBIA  THE,GAMBIA  THE,GAMBIA  THE,GAMBIA  THETAX99,TAX99,Test case passed
89,89,GEO,GEOGEORGIA  REPUBLIC OF,GEORGIA  REPUBLIC OF,GEORGIA  REPUBLIC OF,GEORGIA  REPUBLIC OFTAX99,TAX99,Test case passed
90,90,DDR,DDRGERMAN DEMOCRATIC REPUBLIC (HI,GERMAN DEMOCRATIC REPUBLIC (HI,GERMAN DEMOCRATIC REPUBLIC (HI,GERMAN DEMOCRATIC REPUBLIC (HITAX99,TAX99,Test case passed
91,91,DEU,DEUGERMANY,GERMANY,GERMANY,GERMANYIPTDE,IPTDE,Test case passed
92,92,GHA,GHAGHANA,GHANA,GHANA,GHANATAX99,TAX99,Test case passed
93,93,GIB,GIBGIBRALTAR,GIBRALTAR,GIBRALTAR,GIBRALTARTAX99,TAX99,Test case passed
94,94,GRC,GRCGREECE,GREECE,GREECE,GREECEIPTGR,IPTGR,Test case passed
95,95,GRL,GRLGREENLAND,GREENLAND,GREENLAND,GREENLANDTAX99,TAX99,Test case passed
96,96,GRD,GRDGRENADA,GRENADA,GRENADA,GRENADATAX99,TAX99,Test case passed
97,97,GLP,GLPGUADELOUPE,GUADELOUPE,GUADELOUPE,GUADELOUPETAX99,TAX99,Test case passed
98,98,GUM,GUMGUAM,GUAM,GUAM,GUAMTAX99,TAX99,Test case passed
99,99,GTM,GTMGUATEMALA,GUATEMALA,GUATEMALA,GUATEMALATAX99,TAX99,Test case passed
100,100,GBG,GBGGUERNSEY,GUERNSEY,GUERNSEY,GUERNSEYTAX99,TAX99,Test case passed
101,101,GIN,GINGUINEA,GUINEA,GUINEA,GUINEATAX99,TAX99,Test case passed
102,102,GNB,GNBGUINEA-BISSAU,GUINEA-BISSAU,GUINEA-BISSAU,GUINEA-BISSAUTAX99,TAX99,Test case passed
103,103,GUY,GUYGUYANA,GUYANA,GUYANA,GUYANATAX99,TAX99,Test case passed
104,104,HTI,HTIHAITI,HAITI,HAITI,HAITITAX99,TAX99,Test case passed
105,105,HAW,HAWHAWAIIAN ISLANDS,HAWAIIAN ISLANDS,HAWAIIAN ISLANDS,HAWAIIAN ISLANDSTAX99,TAX99,Test case passed
106,106,HMD,HMDHEARD & MCDONALD ISLANDS,HEARD & MCDONALD ISLANDS,HEARD & MCDONALD ISLANDS,HEARD & MCDONALD ISLANDSTAX99,TAX99,Test case passed
107,107,HND,HNDHONDURAS,HONDURAS,HONDURAS,HONDURASTAX99,TAX99,Test case passed
108,108,HKG,HKGHONG KONG,HONG KONG,HONG KONG,HONG KONGTAX99,TAX99,Test case passed
109,109,HUN,HUNHUNGARY,HUNGARY,HUNGARY,HUNGARYIPTHU,IPTHU,Test case passed
110,110,ISL,ISLICELAND,ICELAND,ICELAND,ICELANDIPTIS,IPTIS,Test case passed
111,111,IND,INDINDIA,INDIA,INDIA,INDIATAX99,TAX99,Test case passed
112,112,IDN,IDNINDONESIA,INDONESIA,INDONESIA,INDONESIATAX99,TAX99,Test case passed
113,113,IRN,IRNIRAN,IRAN,IRAN,IRANTAX99,TAX99,Test case passed
114,114,IRQ,IRQIRAQ,IRAQ,IRAQ,IRAQTAX99,TAX99,Test case passed
115,115,IRL,IRLIRELAND REPUBLIC OF,IRELAND REPUBLIC OF,IRELAND REPUBLIC OF,IRELAND REPUBLIC OFIPTIE,IPTIE,Test case passed
116,116,IOM,IOMISLE OF MAN,ISLE OF MAN,ISLE OF MAN,ISLE OF MANTAX99,TAX99,Test case passed
117,117,ISR,ISRISRAEL,ISRAEL,ISRAEL,ISRAELTAX99,TAX99,Test case passed
118,118,ITA,ITAITALY,ITALY,ITALY,ITALYIPTIT,IPTIT,Test case passed
119,119,CIV,CIVIVORY COAST,IVORY COAST,IVORY COAST,IVORY COASTTAX99,TAX99,Test case passed
120,120,JAM,JAMJAMAICA,JAMAICA,JAMAICA,JAMAICATAX99,TAX99,Test case passed
121,121,JPN,JPNJAPAN,JAPAN,JAPAN,JAPANTAX99,TAX99,Test case passed
122,122,GBJ,GBJJERSEY,JERSEY,JERSEY,JERSEYTAX99,TAX99,Test case passed
123,123,JOR,JORJORDAN,JORDAN,JORDAN,JORDANTAX99,TAX99,Test case passed
124,124,KAZ,KAZKAZAKHSTAN,KAZAKHSTAN,KAZAKHSTAN,KAZAKHSTANTAX99,TAX99,Test case passed
125,125,KEN,KENKENYA,KENYA,KENYA,KENYATAX99,TAX99,Test case passed
126,126,KIR,KIRKIRIBATI,KIRIBATI,KIRIBATI,KIRIBATITAX99,TAX99,Test case passed
127,127,PRK,PRKKOREA  DEMCRTIC PPLS REPUBLIC,KOREA  DEMCRTIC PPLS REPUBLIC,KOREA  DEMCRTIC PPLS REPUBLIC,KOREA  DEMCRTIC PPLS REPUBLICTAX99,TAX99,Test case passed
128,128,KOR,KORKOREA  REPUBLIC OF,KOREA  REPUBLIC OF,KOREA  REPUBLIC OF,KOREA  REPUBLIC OFTAX99,TAX99,Test case passed
129,129,KWT,KWTKUWAIT,KUWAIT,KUWAIT,KUWAITTAX99,TAX99,Test case passed
130,130,LAO,LAOLAOS,LAOS,LAOS,LAOSTAX99,TAX99,Test case passed
131,131,LVA,LVALATVIA  REPUBLIC OF,LATVIA  REPUBLIC OF,LATVIA  REPUBLIC OF,LATVIA  REPUBLIC OFIPTLV,IPTLV,Test case passed
132,132,LBN,LBNLEBANON,LEBANON,LEBANON,LEBANONTAX99,TAX99,Test case passed
133,133,LSO,LSOLESOTHO,LESOTHO,LESOTHO,LESOTHOTAX99,TAX99,Test case passed
134,134,LBR,LBRLIBERIA,LIBERIA,LIBERIA,LIBERIATAX99,TAX99,Test case passed
135,135,LIE,LIELIECHTENSTEIN,LIECHTENSTEIN,LIECHTENSTEIN,LIECHTENSTEINIPTLI,IPTLI,Test case passed
136,136,LTU,LTULITHUANIA  REPUBLIC OF,LITHUANIA  REPUBLIC OF,LITHUANIA  REPUBLIC OF,LITHUANIA  REPUBLIC OFIPTLT,IPTLT,Test case passed
137,137,LUX,LUXLUXEMBOURG,LUXEMBOURG,LUXEMBOURG,LUXEMBOURGIPTLU,IPTLU,Test case passed
138,138,MAC,MACMACAO,MACAO,MACAO,MACAOTAX99,TAX99,Test case passed
139,139,MKD,MKDMACEDONIA  REPUBLIC OF,MACEDONIA  REPUBLIC OF,MACEDONIA  REPUBLIC OF,MACEDONIA  REPUBLIC OFTAX99,TAX99,Test case passed
140,140,MDG,MDGMADAGASCAR,MADAGASCAR,MADAGASCAR,MADAGASCARTAX99,TAX99,Test case passed
141,141,PMD,PMDMADEIRA,MADEIRA,MADEIRA,MADEIRATAX99,TAX99,Test case passed
142,142,MWI,MWIMALAWI,MALAWI,MALAWI,MALAWITAX99,TAX99,Test case passed
143,143,MYS,MYSMALAYSIA,MALAYSIA,MALAYSIA,MALAYSIATAX99,TAX99,Test case passed
144,144,MDV,MDVMALDIVES  REPUBLIC OF,MALDIVES  REPUBLIC OF,MALDIVES  REPUBLIC OF,MALDIVES  REPUBLIC OFTAX99,TAX99,Test case passed
145,145,MLI,MLIMALI,MALI,MALI,MALITAX99,TAX99,Test case passed
146,146,MAL,MALMALLORCA,MALLORCA,MALLORCA,MALLORCATAX99,TAX99,Test case passed
147,147,MLT,MLTMALTA,MALTA,MALTA,MALTAIPTMT,IPTMT,Test case passed
148,148,MNP,MNPMARIANAS  NORTHERN,MARIANAS  NORTHERN,MARIANAS  NORTHERN,MARIANAS  NORTHERNTAX99,TAX99,Test case passed
149,149,MPA,MPAMARITIME & PORT AUTHORITY SINGAPORE (HCL),MARITIME & PORT AUTHORITY SINGAPORE (HCL),MARITIME & PORT AUTHORITY SINGAPORE (HCL),MARITIME & PORT AUTHORITY SINGAPORE (HCL)TAX99,TAX99,Test case passed
150,150,MHL,MHLMARSHALL ISLANDS,MARSHALL ISLANDS,MARSHALL ISLANDS,MARSHALL ISLANDSTAX99,TAX99,Test case passed
151,151,MTQ,MTQMARTINIQUE,MARTINIQUE,MARTINIQUE,MARTINIQUETAX99,TAX99,Test case passed
152,152,MRT,MRTMAURITANIA,MAURITANIA,MAURITANIA,MAURITANIATAX99,TAX99,Test case passed
153,153,MUS,MUSMAURITIUS,MAURITIUS,MAURITIUS,MAURITIUSTAX99,TAX99,Test case passed
155,155,MAYOTTE,MAYOTTEMAYOTTE,MAYOTTE,MAYOTTE,MAYOTTETAX99,TAX99,Test case passed
156,156,MEX,MEXMEXICO,MEXICO,MEXICO,MEXICOTAX99,TAX99,Test case passed
157,157,FSM,FSMMICRONESIA  FEDERATED STATES OF,MICRONESIA  FEDERATED STATES OF,MICRONESIA  FEDERATED STATES OF,MICRONESIA  FEDERATED STATES OFTAX99,TAX99,Test case passed
158,158,MDA,MDAMOLDOVA  REPUBLIC OF,MOLDOVA  REPUBLIC OF,MOLDOVA  REPUBLIC OF,MOLDOVA  REPUBLIC OFTAX99,TAX99,Test case passed
159,159,MCO,MCOMONACO,MONACO,MONACO,MONACOIPTMC,IPTMC,Test case passed
160,160,MNG,MNGMONGOLIA,MONGOLIA,MONGOLIA,MONGOLIATAX99,TAX99,Test case passed
161,161,MSR,MSRMONSERRAT,MONSERRAT,MONSERRAT,MONSERRATTAX99,TAX99,Test case passed
162,162,MTG,MTGMONTENEGRO,MONTENEGRO,MONTENEGRO,MONTENEGROTAX99,TAX99,Test case passed
163,163,MAR,MARMOROCCO,MOROCCO,MOROCCO,MOROCCOTAX99,TAX99,Test case passed
164,164,MOZ,MOZMOZAMBIQUE,MOZAMBIQUE,MOZAMBIQUE,MOZAMBIQUETAX99,TAX99,Test case passed
165,165,MMR,MMRMYANMAR  UNION OF,MYANMAR  UNION OF,MYANMAR  UNION OF,MYANMAR  UNION OFTAX99,TAX99,Test case passed
166,166,NAM,NAMNAMIBIA  REPUBLIC OF,NAMIBIA  REPUBLIC OF,NAMIBIA  REPUBLIC OF,NAMIBIA  REPUBLIC OFTAX99,TAX99,Test case passed
167,167,NRU,NRUNAURU,NAURU,NAURU,NAURUTAX99,TAX99,Test case passed
168,168,NPL,NPLNEPAL,NEPAL,NEPAL,NEPALTAX99,TAX99,Test case passed
169,169,NLD,NLDNETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDSIPTNL,IPTNL,Test case passed
170,170,ANT,ANTNETHERLANDS ANTILLES,NETHERLANDS ANTILLES,NETHERLANDS ANTILLES,NETHERLANDS ANTILLESTAX99,TAX99,Test case passed
171,171,NCL,NCLNEW CALEDONIA,NEW CALEDONIA,NEW CALEDONIA,NEW CALEDONIATAX99,TAX99,Test case passed
172,172,NZL,NZLNEW ZEALAND,NEW ZEALAND,NEW ZEALAND,NEW ZEALANDTAX99,TAX99,Test case passed
173,173,NIC,NICNICARAGUA,NICARAGUA,NICARAGUA,NICARAGUATAX99,TAX99,Test case passed
174,174,NER,NERNIGER  REPUBLIC OF,NIGER  REPUBLIC OF,NIGER  REPUBLIC OF,NIGER  REPUBLIC OFTAX99,TAX99,Test case passed
175,175,NGA,NGANIGERIA,NIGERIA,NIGERIA,NIGERIATAX99,TAX99,Test case passed
176,176,NIU,NIUNIUE ISLAND,NIUE ISLAND,NIUE ISLAND,NIUE ISLANDTAX99,TAX99,Test case passed
177,177,NFK,NFKNORFOLK ISLAND,NORFOLK ISLAND,NORFOLK ISLAND,NORFOLK ISLANDTAX99,TAX99,Test case passed
178,178,NOR,NORNORWAY,NORWAY,NORWAY,NORWAYIPTNO,IPTNO,Test case passed
179,179,NIS,NISNORWEGIAN INTERNATIONAL SHIP REGISTER,NORWEGIAN INTERNATIONAL SHIP REGISTER,NORWEGIAN INTERNATIONAL SHIP REGISTER,NORWEGIAN INTERNATIONAL SHIP REGISTERTAX99,TAX99,Test case passed
180,180,OMN,OMNOMAN  SULTANATE OF,OMAN  SULTANATE OF,OMAN  SULTANATE OF,OMAN  SULTANATE OFTAX99,TAX99,Test case passed
181,181,PAK,PAKPAKISTAN,PAKISTAN,PAKISTAN,PAKISTANTAX99,TAX99,Test case passed
182,182,PLW,PLWPALAU  REPUBLIC OF,PALAU  REPUBLIC OF,PALAU  REPUBLIC OF,PALAU  REPUBLIC OFTAX99,TAX99,Test case passed
183,183,PAN,PANREPUBLIC OF PANAMA,REPUBLIC OF PANAMA,REPUBLIC OF PANAMA,REPUBLIC OF PANAMATAX99,TAX99,Test case passed
184,184,PNG,PNGPAPUA NEW GUINEA,PAPUA NEW GUINEA,PAPUA NEW GUINEA,PAPUA NEW GUINEATAX99,TAX99,Test case passed
185,185,PRY,PRYPARAGUAY,PARAGUAY,PARAGUAY,PARAGUAYTAX99,TAX99,Test case passed
186,186,PER,PERPERU,PERU,PERU,PERUTAX99,TAX99,Test case passed
187,187,PHL,PHLPHILIPPINES,PHILIPPINES,PHILIPPINES,PHILIPPINESTAX99,TAX99,Test case passed
188,188,PCN,PCNPITCAIRN ISLANDS,PITCAIRN ISLANDS,PITCAIRN ISLANDS,PITCAIRN ISLANDSTAX99,TAX99,Test case passed
189,189,POL,POLPOLAND,POLAND,POLAND,POLANDIPTPL,IPTPL,Test case passed
190,190,PYF,PYFPOLYNESIA FRENCH,POLYNESIA FRENCH,POLYNESIA FRENCH,POLYNESIA FRENCHTAX99,TAX99,Test case passed
191,191,PRT,PRTPORTUGAL,PORTUGAL,PORTUGAL,PORTUGALIPTPT,IPTPT,Test case passed
192,192,PRI,PRIPUERTO RICO,PUERTO RICO,PUERTO RICO,PUERTO RICOTAX99,TAX99,Test case passed
193,193,QAT,QATQATAR  STATE OF,QATAR  STATE OF,QATAR  STATE OF,QATAR  STATE OFTAX99,TAX99,Test case passed
194,194,REU,REUREUNION,REUNION,REUNION,REUNIONTAX99,TAX99,Test case passed
195,195,ROM,ROMROMANIA,ROMANIA,ROMANIA,ROMANIAIPTRO,IPTRO,Test case passed
196,196,RUS,RUSRUSSIAN FEDERATION,RUSSIAN FEDERATION,RUSSIAN FEDERATION,RUSSIAN FEDERATIONTAX99,TAX99,Test case passed
197,197,RWA,RWARWANDA,RWANDA,RWANDA,RWANDATAX99,TAX99,Test case passed
198,198,BLM,BLMSAINT BARTHELEMY,SAINT BARTHELEMY,SAINT BARTHELEMY,SAINT BARTHELEMYTAX99,TAX99,Test case passed
199,199,SMR,SMRSAN MARINO,SAN MARINO,SAN MARINO,SAN MARINOTAX99,TAX99,Test case passed
200,200,STP,STPSAO TOME & PRINCIPE,SAO TOME & PRINCIPE,SAO TOME & PRINCIPE,SAO TOME & PRINCIPETAX99,TAX99,Test case passed
201,201,SAU,SAUSAUDI ARABIA,SAUDI ARABIA,SAUDI ARABIA,SAUDI ARABIATAX99,TAX99,Test case passed
202,202,SEN,SENSENEGAL,SENEGAL,SENEGAL,SENEGALTAX99,TAX99,Test case passed
203,203,SER,SERSERBIA,SERBIA,SERBIA,SERBIATAX99,TAX99,Test case passed
204,204,SYC,SYCSEYCHELLES,SEYCHELLES,SEYCHELLES,SEYCHELLESTAX99,TAX99,Test case passed
205,205,SLE,SLESIERRA LEONE,SIERRA LEONE,SIERRA LEONE,SIERRA LEONETAX99,TAX99,Test case passed
206,206,SGP,SGPSINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OF,SINGAPORE  REPUBLIC OFTAX99,TAX99,Test case passed
207,207,SXM,SXMSINT MAARTEN,SINT MAARTEN,SINT MAARTEN,SINT MAARTENTAX99,TAX99,Test case passed
208,208,SVK,SVKSLOVAKIA  REPUBLIC OF,SLOVAKIA  REPUBLIC OF,SLOVAKIA  REPUBLIC OF,SLOVAKIA  REPUBLIC OFIPTSK,IPTSK,Test case passed
209,209,SVN,SVNSLOVENIA,SLOVENIA,SLOVENIA,SLOVENIAIPTSI,IPTSI,Test case passed
